SAN FRANCISCO
-------------
 
DATE
----
871219
871220
871221
871222
871223
871224
871225
871226
871227
871228
871229
871230
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 11      835       25              860     6.25     0.32             6.58
 12      851      146              997     7.48     1.24             8.72
 13     1925      976             2901    16.92     8.20            25.13
 14     2773     1189             3962    33.97    17.36            51.33
 15     4506     2081             6587    79.23    24.07           103.30
 16     4886     2698             7584    92.20    36.83           129.03
 17     4911     2729             7640    85.46    39.60           125.07
 18     4825     2650             7475    81.24    32.28           113.53
 19     4692     2675             7367    64.23    31.89            96.12
 20     4832     2716             7548    73.75    36.87           110.63
 21    10896     2715            13611   124.91    35.94           160.85
 22     5140     2758             7898    97.91    39.58           137.49
 23     4881     2650             7531    81.14    33.36           114.50
 24     4476     2512             6988    57.17    23.61            80.78
  1     4320     2447             6767    45.83    18.25            64.08
  2     4190     2417             6607    38.47    15.70            54.18
  3     3977     1874             5851    29.22    12.54            41.76
  4     3927     1784             5711    28.65    11.65            40.30
  5     2498     1172             3670    17.81     9.69            27.50
  6     2139     1142             3281    16.41     9.52            25.93
  7     2084     1123             3207    14.86     9.04            23.90
  8     1733     1013             2746    13.74     8.99            22.73
  9     1021      166             1187    10.00     1.36            11.36
 10      724        6              730     8.22     0.12             8.34
 11     1612      280             1892    11.46     1.79            13.25
 12     1712      804             2516    11.03     5.34            16.36
 13     1748      936             2684    14.38     8.38            22.76
 14     3094     1038             4132    41.97    16.36            58.33
 15     4757     1647             6404    88.55    26.40           114.95
 16     5113     1946             7059    94.14    29.81           123.96
 17     5445     2031             7476   112.84    38.77           151.61
 18     5088     1897             6985    91.67    30.53           122.21
 19     4975     1909             6884    68.56    27.09            95.65
 20     5145     1951             7096    74.77    30.54           105.31
 21     5213     1919             7132    84.86    32.13           116.99
 22     5219     1978             7197    88.18    31.94           120.11
 23     5119     1870             6989    80.39    25.05           105.44
 24     4826     1751             6577    58.53    20.76            79.29
  1     4629     1702             6331    43.53    13.62            57.15
  2     4549     1690             6239    37.68    11.62            49.30
  3     4451     1224             5675    30.80     8.57            39.37
  4     4382     1046             5428    30.87     7.79            38.65
  5     2307     1045             3352    17.84     8.02            25.87
  6     2097     1028             3125    15.77     6.99            22.76
  7     1925      995             2920    13.12     6.18            19.30
  8     1820     1067             2887    13.16     7.84            21.00
  9     1907      915             2822    14.85     5.83            20.68
 10     1932      304             2236    15.46     1.95            17.41
 11      864      307             1171     6.69     2.44             9.13
 12     1614      767             2381    11.40     4.93            16.33
 13     1992     1007             2999    15.07     8.42            23.49
 14     2760     1116             3876    33.50    16.35            49.84
 15     4841     1510             6351    78.59    22.81           101.40
 16     5301     2236             7537    85.93    29.73           115.66
 17     5334     1919             7253    82.54    32.06           114.59
 18     5236     1891             7127    72.13    26.29            98.41
 19     5143     1893             7036    66.41    24.99            91.40
 20     5250     1955             7205    74.06    28.51           102.57
 21     5302     1973             7275    78.90    28.57           107.47
 22    14368     1948            16316   139.71    30.58           170.29
 23     5179     1862             7041    70.22    22.04            92.26
 24     4923     1730             6653    50.29    13.45            63.74
  1     4753     1696             6449    38.22    12.04            50.26
  2     4673     1704             6377    35.90    11.21            47.11
  3     4578     1225             5803    30.20     8.96            39.16
  4     4520     1157             5677    29.68     8.96            38.65
  5     2699     1111             3810    17.79     8.38            26.16
  6     2235     1024             3259    16.77     6.68            23.45
  7     2156     1010             3166    13.81     6.54            20.35
  8     2144     1079             3223    14.85     8.15            23.00
  9     1029      734             1763     9.31     4.75            14.06
 10     1010       14             1024     9.67     0.70            10.37
 11      726        9              735     5.58     0.63             6.20
 12      781       88              869     5.47     0.84             6.31
 13      901     1124             2025     6.42     7.33            13.75
 14     1084     1151             2235    10.43     8.66            19.09
 15     4363     1375             5738    38.13     9.80            47.93
 16     4509     2841             7350    40.38    23.29            63.67
 17     4626     3060             7686    43.39    23.11            66.50
 18     4611     3051             7662    38.09    21.25            59.34
 19     4588     2886             7474    34.64    19.23            53.87
 20     3886     2826             6712    29.55    19.12            48.67
 21     3323     2829             6152    25.87    18.70            44.57
 22     3289     2788             6077    24.07    18.20            42.26
 23     3219     2120             5339    22.53    14.25            36.78
 24     3175     1058             4233    20.68     7.54            28.22
  1     2405      985             3390    15.64     7.36            23.00
  2     2203      999             3202    15.26     7.49            22.75
  3     2205      982             3187    14.19     7.36            21.56
  4     2194      945             3139    14.12     6.79            20.91
  5     2218      951             3169    14.56     7.15            21.71
  6     2469      950             3419    16.42     6.26            22.68
  7     2534      941             3475    16.89     6.04            22.93
  8     2506      516             3022    18.16     4.66            22.82
  9     1618       70             1688    14.51     0.81            15.32
 10     1146       62             1208    11.57     0.62            12.19
 11      489       47              536     4.89     0.45             5.34
 12      168        8              176     1.39     0.10             1.48
 13      124       17              141     0.92     0.15             1.08
 14      106       60              166     0.76     0.46             1.23
 15      128      108              236     0.81     0.76             1.57
 16      137      122              259     1.83     0.83             2.66
 17      214      135              349     1.77     1.63             3.39
 18      154      122              276     1.42     1.18             2.60
 19      149      129              278     0.97     0.92             1.90
 20      162      129              291     1.13     0.91             2.04
 21      159      128              287     1.11     0.99             2.11
 22      156      131              287     1.32     1.05             2.37
 23      162      129              291     1.15     1.01             2.16
 24      163      146              309     1.08     2.35             3.43
  1      156      137              293     1.00     2.30             3.30
  2      153      159              312     1.04     2.10             3.14
  3      163      123              286     1.04     0.94             1.98
  4      159       93              252     1.39     0.82             2.21
  5      152       86              238     0.98     0.81             1.80
  6      162       85              247     1.10     0.65             1.75
  7      147       27              174     0.94     0.29             1.23
  8      192       93              285     2.71     2.15             4.86
  9      320       15              335     4.96     0.31             5.27
 10      575       13              588     6.76     0.15             6.91
 11      688       24              712     5.01     0.22             5.23
 12      653      335              988     4.03     2.20             6.23
 13     1281      840             2121     7.94     5.85            13.79
 14     1619      898             2517    10.73     6.37            17.10
 15     1818      940             2758    14.02     6.90            20.92
 16     2756      983             3739    21.74     6.86            28.60
 17     2942     1056             3998    22.55     7.71            30.26
 18     2970     1048             4018    21.87     7.69            29.56
 19     2955     1045             4000    21.47     7.11            28.58
 20     2993     1065             4058    22.53     7.43            29.96
 21     2972     1067             4039    21.92     7.29            29.21
 22     2958     1052             4010    20.67     7.17            27.84
 23     2932     1053             3985    19.58     7.44            27.01
 24     2912     1025             3937    19.09     7.47            26.56
  1     2808      979             3787    18.01     8.31            26.32
  2     2183      967             3150    14.19     6.52            20.70
  3     1793      937             2730    11.63     7.06            18.69
  4     1777      872             2649    11.25     6.47            17.72
  5     1761      890             2651    11.70     6.89            18.59
  6     1725      866             2591    12.48     5.86            18.34
  7     1667      854             2521    10.97     6.25            17.21
  8     1724      740             2464    12.30     6.03            18.33
  9     1850      392             2242    15.03     2.62            17.65
 10     1759       24             1783    14.13     0.22            14.35
 11      724       30              754     6.01     0.27             6.28
 12      646       64              710     4.01     0.55             4.56
 13      799      497             1296     4.89     3.20             8.10
 14     1173      495             1668     7.19     3.19            10.38
 15     1253      497             1750     7.82     3.19            11.00
 16     1278      500             1778     8.31     3.39            11.70
 17     1302      513             1815     9.15     4.48            13.64
 18     1670      567             2237    12.61     4.67            17.28
 19     1879      609             2488    13.18     4.18            17.36
 20     2001      629             2630    15.41     5.13            20.54
 21     1948      642             2590    13.19     5.63            18.82
 22     1972      632             2604    13.13     4.76            17.89
 23     1964      633             2597    13.87     4.25            18.13
 24     1571      576             2147    11.04     4.75            15.79
  1     1289      549             1838     8.34     4.16            12.50
  2     1291      538             1829    10.47     3.70            14.17
  3     1302      521             1823    10.80     3.44            14.24
  4     1296      517             1813     8.69     3.43            12.12
  5     1304      531             1835     9.67     3.86            13.53
  6     1323      520             1843    10.70     4.21            14.91
  7     1200      375             1575     7.91     3.63            11.53
  8      760      294             1054     6.52     3.78            10.31
  9      868       18              886     8.46     0.65             9.10
 10      861       12              873     9.09     0.16             9.25
 11      485       16              501     3.86     0.16             4.02
 12      979      538             1517     6.03     3.76             9.79
 13     1178      835             2013    10.01     7.78            17.79
 14     1621      907             2528    23.65    13.68            37.32
 15     2786     1069             3855    66.80    18.67            85.47
 16     3207     1494             4701    83.67    25.49           109.16
 17     3444     1547             4991    81.61    26.29           107.90
 18     3223     1484             4707    76.96    21.93            98.89
 19     3049     1496             4545    65.21    20.83            86.03
 20     3203     1595             4798    71.52    30.18           101.70
 21     3254     1594             4848    77.95    31.32           109.27
 22     3296     1566             4862   112.61    35.30           147.91
 23     3181     1458             4639    88.91    22.93           111.85
 24     2   1059             3671    50.35     8.58            58.93
  1     2203      862             3065    32.09     6.74            38.83
  2     2089      880             2969    24.18     7.00            31.18
  3     1424      835             2259    13.38     7.72            21.10
  4     1271      811             2082    15.66     6.39            22.05
  5     1267      835             2102    14.37     6.48            20.85
  6     1266      822             2088    11.57     5.80            17.36
  7     1172      808             1980     9.01     5.45            14.46
  8     1076      354             1430     9.51     3.69            13.20
  9      270       19              289     5.03     0.37             5.40
 10      256        8              264     4.99     0.14             5.13
 11      175       21              196     2.56     0.25             2.81
 12      686       74              760     5.54     1.00             6.55
 13     1186      871             2057    12.70     7.39            20.09
 14     1633      986             2619    25.20    15.40            40.60
 15     2662     1084             3746    64.65    19.30            83.94
 16     2885     1991             4876    82.39    29.27           111.67
 17     2925     2103             5028   128.41    42.85           171.26
 18     2782     1968             4750    88.22    29.49           117.71
 19     2717     1895             4612    60.89    22.60            83.49
 20     2752     2039             4791    70.07    27.49            97.57
 21     2804     2101             4905    78.49    34.66           113.14
 22     2798     2107             4905    77.57    36.34           113.90
 23     2798     1973             4771    77.22    31.92           109.13
 24     2435     1422             3857    46.47    17.54            64.01
  1     2190      942             3132    28.75     9.10            37.84
  2     2111      936             3047    23.07     8.15            31.21
  3     2013      905             2918    17.55     7.51            25.06
  4     1290      866             2156    10.41     6.79            17.20
  5     1258      869             2127     9.41     6.73            16.14
  6     1290      865             2155    10.76     7.13            17.89
  7     1178      422             1600     8.32     3.68            12.00
  8     1067      262             1329     8.62     3.62            12.24
  9      817       24              841     9.24     0.38             9.62
 10      777       12              789     8.18     0.22             8.40
 11      590       10              600     5.48     0.30             5.78
 12       14        8               22     0.91     0.32             1.22
 13       66       37              103     4.10     2.82             6.91
 14      282      255              537    18.18    14.38            32.56
 15      845      537             1382    64.88    19.40            84.28
 16      994      605             1599    75.36    20.80            96.16
 17     1058      695             1753   117.53    35.72           153.25
 18      819      588             1407    70.56    19.74            90.31
 19      720      525             1245    47.75    11.52            59.27
 20      705      660             1365    56.43    19.79            76.22
 21      753      667             1420    59.58    21.62            81.20
 22      717      672             1389    59.78    20.06            79.84
 23      635      577             1212    51.41    14.66            66.07
 24      338      262              600    21.33     4.38            25.71
 
 
        NON-POS TRANSACTIONS                 POS TRANSACTIONS
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 --    -----    -----           ------    -----    -----           ------
  1      249       58              307     3285     1536             4821
  2      157       82              239     3286     1538             4824
  3      109       47              156     3286     1538             4824
  4       77       31              108     1652      661             2313
  5       68       78              146      914      104             1018
  6      117       43              160      911      103             1014
  7       41       30               71      885      105              990
  8       81       95              176      783       81              864
  9      218       18              236      698       34              732
 10      221        2              223      552       19              571
 11       49        2               51      545       16              561
 12        2        2                4      545       41              586
 13        6       10               16      612      199              811
 14       44       21               65      742      165              907
 15      193       43              236     1068     1290             2358
 16      344       79              423     2422     1905             4327
 17      398       92              490     3495     2280             5775
 18      361      108              469     3562     2265             5827
 19      300      128              428     4486     2908             7394
 20      273      170              443     5509     3213             8722
 21      271      148              419     4568     2369             6937
 22      257      152              409     5185     2320             7505
 23      255       94              349     5295     2205             7500
 24      174       70              244     5082     2184             7266
  1      115       57              172     4967     1337             6304
  2      102       76              178     4965     1337             6302
  3       82       50              132     4960     1337             6297
  4       45       33               78     4636     1278             5914
  5       70       73              143     2521     1262             3783
  6      137       49              186     2423     1263             3686
  7       47       26               73     2424     1263             3687
  8       79      108              187     2361     1204             3565
  9      217       21              238     2265      611             2876
 10      218        3              221     1937        8             1945
 11       50        3               53      619       11              630
 12        5        5               10     1484       65             1549
 13        1       12               13     1844      720             2564
 14        0        8                8     1890      938             2828
 15       11       13               24     1890      972             2862
 16       28       29               57     1948     1073             3021
 17       86       28              114     2555     1120             3675
 18      120       30              150     3396     1278             4674
 19      134       62              196     3396     1395             4791
 20      151       84              235     5143     1434             6577
 21      172       66              238     4410     1439             5849
 22      151       55              206     3683      735             4418
 23      147       72              219     3681      731             4412
 24       97       45              142     3396      692             4088
  1       60       27               87     3325      507             3832
  2       48       28               76     2186      370             2556
  3       47       48               95     1972      354             2326
  4       50       32               82     1972      289             2261
  5       40       56               96     1918      271             2189
  6       76       35              111     1893      177             2070
  7       24       19               43     1902       21             1923
  8       81       87              168      945       10              955
  9      215       13              228      798        0              798
 10      211        4              215      783        7              790
 11       51       10               61      785       15              800
 12       15       13               28      837      133              970
 13       43       39               82     1887      937             2824
 14      262      164              426     2516     1028             3544
 15      775      193              968     3759     1905             5664
 16      931      358             1289     4016     2356             6372
 17      931      402             1333     4038     2356             6394
 18      864      318             1182     4038     2356             6394
 19      695      338             1033     4038     2356             6394
 20      834      376             1210     4038     2356             6394
 21     1061      374             1435     9888     2356            12244
 22     1178      426             1604     4038     2356             6394
 23      935      311             1246     4012     2356             6368
 24      547      169              716     3977     2356             6333
  1      370       99              469     3977     2356             6333
  2      237       61              298     3969     2356             6325
  3      148       49              197     3841     1826             5667
  4       90       33              123     3840     1752             5592
  5       61       70              131     2441     1105             3546
  6       92       35              127     2051     1113             3164
  7       35       20               55     2051     1105             3156
  8       78       97              175     1657      918             2575
  9      217       15              232      805      153              958
 10      211        4              215      518        2              520
 11       56        8               64     1558      272             1830
 12        9        8               17     1706      796             2502
 13       41       38               79     1707      899             2606
 14      325      144              469     2779      899             3678
 15      802      246             1048     3997     1409             5406
 16      890      349             1239     4297     1615             5912
 17     1168      448             1616     4352     1615             5967
 18      827      304             1131     4352     1615             5967
 19      665      308              973     4352     1615             5967
 20      838      355             1193     4352     1615             5967
 21      915      326             1241     4352     1615             5967
 22      937      386             1323     4352     1615             5967
 23      822      269             1091     4352     1615             5967
 24      511      158              669     4352     1615             5967
  1      299       94              393     4352     1615             5967
  2      210       77              287     4352     1615             5967
  3      143       61              204     4316     1164             5480
  4       76       32              108     4313     1016             5329
  5       71       63              134     2240      984             3224
  6      169       40              209     1932      988             2920
  7       85       15              100     1842      980             2822
  8       98       85              183     1722      982             2704
  9      204       16              220     1703      900             2603
 10      223        4              227     1714      300             2014
 11       52       11               63      813      296             1109
 12        8        7               15     1608      760             2368
 13       44       44               88     1948      963             2911
 14      276      157              433     2494      963             3457
 15      747      199              946     4127     1333             5460
 16      810      239             1049     4541     2016             6557
 17      835      318             1153     4544     1621             6165
 18      753      282             1035     4544     1621             6165
 19      638      290              928     4544     1621             6165
 20      748      349             1097     4544     1621             6165
 21      798      366             1164     4544     1621             6165
 22      848      344             1192    13582     1621            15203
 23      680      260              940     4544     1621             6165
 24      412      120              532     4544     1621             6165
  1      225       79              304     4544     1621             6165
  2      187       83              270     4496     1623             6119
  3      126       66              192     4459     1162             5621
  4       86       28              114     4437     1130             5567
  5       62       69              131     2638     1044             3682
  6      115       33              148     2124      992             3116
  7       33       24               57     2124      986             3110
  8       82       97              179     2063      983             3046
  9      204       14              218      826      721             1547
 10      211        2              213      805       12              817
 11       56        4               60      673        6              679
 12        7        3               10      774       85              859
 13       12        9               21      890     1115             2005
 14       64       35               99     1021     1118             2139
 15      156       36              192     4213     1342             5555
 16      212       73              285     4306     2770             7076
 17      300      109              409     4341     2957             7298
 18      278       96              374     4341     2958             7299
 19      256       98              354     4341     2791             7132
 20      215      123              338     3675     2707             6382
 21      208      123              331     3125     2707             5832
 22      174       82              256     3125     2707             5832
 23       97       69              166     3125     2051             5176
 24       51       27               78     3125     1033             4158
  1       31       34               65     2376      953             3329
  2       32       51               83     2172      950             3122
  3       34       28               62     2171      956             3127
  4       38       28               66     2158      918             3076
  5      113       87              200     2107      864             2971
  6      371       87              458     2103      864             2967
  7      433       77              510     2103      864             2967
  8      541      147              688     1968      369             2337
  9      686       69              755      933        3              936
 10      665       55              720      489        7              496
 11      423       32              455       69       15               84
 12       97        1               98       71        7               78
 13       53        1               54       71       16               87
 14       27        3               30       79       57              136
 15        6        5               11      123      103              226
 16        7        6               13      130      116              246
 17       13       14               27      202      121              323
 18       13       10               23      143      112              255
 19        9        9               18      140      120              260
 20       21       12               33      141      117              258
 21       18       24               42      141      104              245
 22       23       22               45      133      110              243
 23       14       14               28      148      115              263
 24       12       32               44      151      115              266
  1        7       24               31      149      115              264
  2        6       48               54      147      113              260
  3        7       22               29      156      103              259
  4       10       31               41      149       62              211
  5        3       34               37      149       53              202
  6        9       22               31      153       63              216
  7        5       10               15      142       17              159
  8       69       85              154      123        8              131
  9      198       14              212      122        2              124
 10      210        3              213      371       10              381
 11       51        2               53      639       22              661
 12        1        6                7      652      329              981
 13        2       15               17     1279      825             2104
 14       24       25               49     1595      874             2469
 15       90       36              126     1728      904             2632
 16      134       45              179     2626      940             3566
 17      156       84              240     2792      972             3764
 18      179       74              253     2793      975             3768
 19      155       72              227     2804      973             3777
 20      200       84              284     2797      981             3778
 21      184       86              270     2794      983             3777
 22      168       77              245     2794      978             3772
 23      142       84              226     2793      971             3764
 24      122       57              179     2793      970             3763
  1       52       57              109     2757      922             3679
  2       76       56              132     2109      913             3022
  3       53       41               94     1741      898             2639
  4       39       46               85     1739      828             2567
  5       45       63              108     1717      828             2545
  6       78       40              118     1649      826             2475
  7       30       29               59     1641      826             2467
  8       86       94              180     1639      646             2285
  9      213       16              229     1637      377             2014
 10      206        4              210     1559       20             1579
 11       53        8               61      674       22              696
 12        2        5                7      645       59              704
 13        0        9                9      799      488             1287
 14        1        7                8     1172      488             1660
 15        4        9               13     1249      488             1737
 16       21       13               34     1258      488             1746
 17       44       25               69     1258      490             1748
 18       62       24               86     1610      545             2155
 19       82       30              112     1799      581             2380
 20      120       44              164     1884      586             2470
 21       65       64              129     1884      579             2463
 22       91       44              135     1884      588             2472
 23       82       45              127     1884      588             2472
 24       45       57              102     1529      522             2051
  1       35       52               87     1254      498             1752
  2       40       46               86     1254      492             1746
  3       48       30               78     1256      491             1747
  4       37       27               64     1261      490             1751
  5       29       44               73     1278      488             1766
  6       65       32               97     1263      488             1751
  7       22       29               51     1180      348             1528
  8       87       87              174      675      208              883
  9      204       18              222      664        2              666
 10      217        3              220      651        9              660
 11       54        2               56      434       14              448
 12        4       12               16      975      526             1501
 13       47       46               93     1131      789             1920
 14      263      125              388     1362      789             2151
 15      786      214             1000     2041      865             2906
 16      957      263             1220     2323     1249             3572
 17     1155      304             1459     2353     1261             3614
 18      916      220             1136     2373     1286             3659
 19      726      220              946     2373     1286             3659
 20      876      331             1207     2373     1286             3659
 21      941      365             1306     2373     1249             3622
 22      989      372             1361     2373     1217             3590
 23      908      264             1172     2373     1217             3590
 24      514       82              596     2153      984             3137
  1      275       58              333     1963      804             2767
  2      142       78              220     1955      805             2760
  3       79       45              124     1355      791             2146
  4       68       26               94     1210      789             1999
  5       71       46              117     1204      789             1993
  6       86       31              117     1188      792             1980
  7       22       16               38     1154      793             1947
  8       88       94              182      990      260             1250
  9      213       14              227       58        7               65
 10      216        4              220       47        4               51
 11       57        3               60      121       18              139
 12        7       11               18      680       63              743
 13       52       41               93     1135      832             1967
 14      284      158              442     1356      833             2189
 15      818      218             1036     1877      878             2755
 16     1041      283             1324     1899     1728             3627
 17     1075      386             1461     1934     1745             3679
 18      899      256             1155     1991     1741             3732
 19      772      170              942     1999     1741             3740
 20      800      311             1111     1999     1741             3740
 21      869      373             1242     1999     1741             3740
 22      866      390             1256     1999     1741             3740
 23      867      256             1123     1999     1741             3740
 24      517      117              634     1978     1316             3294
  1      239       48              287     1970      898             2868
  2      153       45              198     1970      893             2863
  3      109       35              144     1913      873             2786
  4       76       23               99     1216      844             2060
  5       58       33               91     1201      838             2039
  6      112       31              143     1179      836             2015
  7       29       16               45     1152      406             1558
  8       85      107              192      983      156             1139
  9      217       14              231      601       12              613
 10      209        4              213      576        8              584
 11       53        4               57      539        6              545
 12       10        6               16        5        2                7
 13       53       37               90       14        0               14
 14      271      174              445       22       88              110
 15      851      213             1064       37      337              374
 16      898      274             1172      173      347              520
 17     1064      351             1415       74      364              438
 18      898      260             1158       54      364              418
 19      738      169              907       30      364              394
 20      736      310             1046       22      364              386
 21      786      326             1112       22      364              386
 22      756      328             1084       22      364              386
 23      674      225              899       22      364              386
 24      372       84              456        7      190              197
 
 
T = TOTAL CONNECT HOURS
M = PEAK CONNECT HOURS
P = PEAK % TOTAL CONNECT HOURS
H = PEAK HOUR
 
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
DAY    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
---    -----    -----           ------    -----    -----           ------
 1T    63446    30622            94068   564.88   232.05           796.93
  M     5765     3378             9143    45.25    25.28            70.07
  P      9.1     11.0              9.7      8.0     10.9              8.8
  H       20       20               20       23       20               20
 2T    74976    24484            99460   527.81   170.42           698.23
  M     5288     1514             6802    37.44    11.89            49.33
  P      7.1      6.2              6.8      7.1      7.0              7.1
  H       20       20               20       20       20               20
 3T    78947    30858           109805  1036.94   390.78          1427.72
  M    10896     2758            13611   124.91    39.60           160.85
  P     13.8      8.9             12.4     12.0     10.1             11.3
  H       21       22               21       21       17               21
 4T    85679    35101           120780  1144.53   421.75          1566.28
  M     5445     2447             7476   112.84    38.77           151.61
  P      6.4      7.0              6.2      9.9      9.2              9.7
  H       17        1               17       17       17               17
 5T    98106    33130           131236  1098.52   369.55          1468.08
  M    14368     2236            16316   139.71    32.06           170.29
  P     14.6      6.7             12.4     12.7      8.7             11.6
  H       22       16               22       22       17               22
 6T    72878    37960           110838   561.39   268.34           829.73
  M     4753     3060             7686    43.39    23.29            66.50
  P      6.5      8.1              6.9      7.7      8.7              8.0
  H        1       17               17       17       16               17
 7T    23969     8812            32781   171.89    67.32           239.21
  M     2534      999             3475    18.16     7.49            23.00
  P     10.6     11.3             10.6     10.6     11.1              9.6
  H        7        2                7        8        2                1
 8T    34628    13262            47890   255.06    98.20           353.26
  M     2993     1067             4058    22.55     7.71            30.26
  P      8.6      8.0              8.5      8.8      7.8              8.6
  H       20       21               20       17       17               17
 9T    39227    14405            53632   271.47   107.89           379.36
  M     2808      979             3787    18.01     8.31            26.32
  P      7.2      6.8              7.1      6.6      7.7              6.9
  H        1        1                1        1        1                1
10T    47012    20533            67545   909.79   297.91          1207.70
  M     3444     1595             4991   112.61    35.30           147.91
  P      7.3      7.8              7.4     12.4     11.8             12.2
  H       17       20               17       22       22               22
11T    43532    26869            70401   960.16   365.28          1325.44
  M     2925     2107             5028   128.41    42.85           171.26
  P      6.7      7.8              7.1     13.4     11.7             12.9
  H       17       22               17       17       17               17
12T    22527    12201            34728   787.58   258.82          1046.40
  M     2190      942             3132   117.53    35.72           153.25
  P      9.7      7.7              9.0     14.9     13.8             14.6
  H        1        1                1       17       17               17
 
 
        NON-POS TRANSACTIONS                 POS TRANSACTIONS
       -------------------------------    -------------------------------
DAY    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
---    -----    -----           ------    -----    -----           ------
 1T     4265     1603             5868    59368    29079            88447
  M      398      170              490     5509     3213             8722
  P      9.3     10.6              8.4      9.3     11.0              9.9
  H       17       20               17       20       20               20
 2T     2265     1008             3273    72794    23503            96297
  M      218      108              238     5143     1439             6577
  P      9.6     10.7              7.3      7.1      6.1              6.8
  H       10        8                9       20       21               20
 3T     9974     3840            13814    69561    27228            96789
  M     1178      426             1604     9888     2356            12244
  P     11.8     11.1             11.6     14.2      8.7             12.7
  H       22       22               22       21       16               21
 4T    10345     3830            14175    76010    31496           107506
  M     1168      448             1616     4352     2356             6333
  P     11.3     11.7             11.4      5.7      7.5              5.9
  H       17       17               17       17        1                1
 5T     9227     3473            12700    89407    29843           119250
  M      848      366             1192    13582     2016            15203
  P      9.2     10.5              9.4     15.2      6.8             12.7
  H       22       21               22       22       16               22
 6T     3417     1382             4799    69591    36621           106212
  M      300      123              409     4544     2958             7299
  P      8.8      8.9              8.5      6.5      8.1              6.9
  H       17       20               17        1       18               18
 7T     3680      848             4528    20322     7976            28298
  M      686      147              755     2376      956             3329
  P     18.6     17.3             16.7     11.7     12.0             11.8
  H        9        8                9        1        3                1
 8T     2132     1040             3172    32540    12243            44783
  M      210       86              284     2804      983             3778
  P      9.8      8.3              9.0      8.6      8.0              8.4
  H       10       21               20       19       21               20
 9T     1550      830             2380    37717    13596            51313
  M      213       94              229     2757      922             3679
