NORRISTOWN
----------
 
DATE
----
871129
871130
871201
871202
871203
871204
871205
871206
871207
871208
871209
871210
                 LOGINS                          CONNECT TIME (HOURS)
    ---------------------------------- ----------------------------------------
 HR BAND0 BAND1 BAND2 BAND5     ROTARY  BAND0  BAND1  BAND2  BAND5       ROTARY
  1    40    72    63   340        515   2.03   6.81   6.14  13.31        28.29
  2    39    56    51   510        656   1.13   3.40   4.73  13.59        22.85
  3    28  7391 10530   461      18410   0.84  47.53  67.13  10.31       125.81
  4    16    43    37   461        557   0.55   2.36   2.47   8.59        13.98
  5    31   129    29   436        625   0.48   2.86   2.14   8.40        13.87
  6    19    35    21   459        534   0.14   1.25   0.34  11.62        13.36
  7     7    15    34   419        475   0.07   0.79   0.23   6.16         7.25
  8    52   102   128   417        699   1.60   2.17   2.43   5.20        11.41
  9    11    60    25   397        493   0.26   1.35   0.66   2.87         5.13
 10     3     6     1    34         44   0.02   0.07   0.12   0.24         0.45
 11     7     9     8   101        125   0.11   0.13   0.73   2.21         3.18
 12     7    26    46     1         80   0.30   0.77   2.43   0.01         3.51
 13   197   919  1218     4       2338   3.60   9.79  14.59   0.02        28.01
 14   560  1287  1492    33       3372   9.24  27.31  29.63   0.64        66.83
 15   690  1359  1561   608       4218  12.85  34.83  42.33   6.93        96.93
 16   704  1402  1565  1157       4828  13.60  37.47  36.80  17.73       105.61
 17   686  1396  1583  1243       4908  12.30  34.80  37.14  21.32       105.56
 18   636  1292  1446  1250       4624   8.89  23.48  25.39  23.18        80.94
 19   659  1313  1502  1259       4733  10.87  26.39  26.87  19.00        83.14
 20   719  1403  1577  1263       4962  14.17  31.74  33.24  21.23       100.38
 21   684  1433  1569  1269       4955  12.83  34.63  33.65  18.80        99.90
 22   677  1384  1530  1260       4851  12.07  28.12  30.88  18.29        89.36
 23   590  1209  1319  1257       4375   6.64  19.92  18.81  18.64        64.01
 24   568  1141  1274  1066       4049   5.79  15.47  13.03  17.14        51.42
  1   583  1137  1241  1147       4108   4.59  13.82  11.27  18.48        48.17
  2   564  1119  1241  1124       4048   4.43  14.35  10.27  16.11        45.15
  3   566  1093  1212  1097       3968   3.50  10.15  10.28  13.76        37.68
  4   274  1055  1167  1085       3581   2.67   9.49  11.08  14.16        37.41
  5   150  1123  1070  1091       3434   1.42   8.97   8.96  17.20        36.54
  6    25   584   142  1075       1826   0.82   4.45   2.74  14.77        22.79
  7     5    26    79   962       1072   0.05   0.36   2.41  10.60        13.42
  8    52   107   120   861       1140   1.21   2.15   2.97   7.19        13.52
  9    12    60    34   573        679   0.63   1.28   1.63   4.45         7.99
 10     0     6     7   239        252   0.00   0.07   1.16   1.50         2.72
 11     4    16     2   103        125   0.11   0.16   1.02   2.18         3.47
 12    43    23   300     4        370   0.42   0.85   3.46   0.33         5.06
 13   222   587  1259     2       2070   2.33   7.91  13.41   0.05        23.70
 14   464   850  1548    24       2886  10.34  18.55  27.95   0.55        57.40
 15   725  1230  1674   665       4294  14.66  27.78  35.36   9.34        87.14
 16   733  1444  1738  1066       4981  13.94  31.48  40.90  14.14       100.46
 17   740  1473  1732  1144       5089  12.12  32.63  41.29  20.08       106.12
 18   682  1355  1496  1174       4707  12.99  29.60  29.90  23.83        96.32
 19   760  1418  1544  1164       4886  19.00  37.42  32.19  20.12       108.73
 20   770  1506  1665  1144       5085  16.33  37.86  38.10  21.14       113.43
 21   804  1633  1838  1232       5507  15.43  41.68  36.80  17.88       111.79
 22   800  1575  1755  1271       5401  13.61  42.24  35.27  18.52       109.65
 23   656  1259  1399  1254       4568   9.53  24.15  22.70  18.00        74.40
 24   616  1175  1310  1239       4340   5.73  14.95  12.24  17.35        50.27
  1   626  1178  1288  1211       4303   4.60  12.99  10.94  15.65        44.19
  2   606  1158  1287  1203       4254   4.70  13.57   8.97  17.46        44.71
  3   611  1137  1272  1163       4183   4.31  10.67  10.97  13.83        39.79
  4   286  1127  1222  1176       3811   2.03   8.63   9.02  16.59        36.27
  5    57  1268  1018  1173       3516   0.69  10.75   7.35  17.31        36.09
  6    18  1080   662  1120       2880   0.19   7.83   4.27  14.63        26.91
  7     6   317    24  1076       1423   0.08   2.36   0.50  11.92        14.85
  8    53   103    93   949       1198   1.21   2.22   1.98  10.98        16.39
  9    15    68    22   673        778   0.33   1.47   0.54   4.93         7.26
 10     1     9     4   110        124   0.01   0.09   0.52   0.69         1.30
 11     6    11     6   106        129   0.20   0.11   0.16   2.29         2.77
 12    15    70   396     3        484   0.59   1.03   3.64   0.02         5.29
 13   374   853  1306     8       2541   4.11   9.66  11.73   0.07        25.57
 14   699  1380  1534    12       3625  11.38  23.24  28.64   0.28        63.54
 15   973  1491  1632   720       4816  16.91  31.92  37.74   8.10        94.67
 16   992  1471  1642  1090       5195  18.30  30.35  36.49  17.05       102.20
 17   989  1488  1620  1295       5392  15.37  33.87  35.28  18.00       102.52
 18   595  1382  1504  1303       4784  10.37  22.32  23.90  19.94        76.54
 19   510  1477  1517  1352       4856  10.84  27.00  26.55  23.04        87.43
 20   550  1538  1559  1377       5024  14.74  31.60  28.11  21.15        95.60
 21   566  1499  1576  1298       4939  14.40  30.78  30.03  15.81        91.03
 22   513  1450  1565  1324       4852  14.50  27.99  30.41  15.86        88.77
 23   450  1310  1287  1248       4295   7.08  19.35  16.16  17.86        60.46
 24   449  1267  1092  1267       4075   5.15  16.01  10.31  19.63        51.09
  1   430  1246  1111  1268       4055   4.45  13.75   9.54  17.07        44.82
  2   440  1228  1095  1245       4008   6.36  13.23   9.63  14.92        44.13
  3   427  1209  1071  1209       3916   5.91  11.32   7.91  11.98        37.13
  4   161  1212  1040  1224       3637   3.57  11.79   7.39  15.21        37.96
  5    36   993   839  1202       3070   2.46  10.21   6.08  14.09        32.84
  6    24   445   657  1155       2281   1.18   3.18   4.08  13.54        21.98
  7     3    19   660  1150       1832   0.22   0.53   4.08  13.00        17.83
  8    52   103   226  1001       1382   1.24   2.23   2.88   9.00        15.36
  9    17    62    26   631        736   0.70   1.31   0.55   4.78         7.35
 10     2     5     3    19         29   0.01   0.12   0.02   0.22         0.37
 11    12     8     7   105        132   0.28   0.15   0.98   2.32         3.73
 12     6    23   214     6        249   0.34   1.51   2.62   0.04         4.51
 13   172   362  1108     1       1643   2.39   5.29  10.12   0.07        17.87
 14   694   983  1390   514       3581  10.65  18.80  27.26   3.79        60.50
 15   757  1280  1458  1775       5270  15.95  31.12  35.14  13.61        95.81
 16   773  1327  1475  1857       5432  14.86  33.40  31.91  19.12        99.30
 17   793  1487  1592  2020       5892  15.63  36.08  34.37  25.24       111.32
 18   778  1496  1568  2082       5924  11.33  27.93  29.61  24.67        93.54
 19   855  1566  4975  1856       9252  15.78  30.32  53.35  23.74       123.17
 20   853  1632  6469  2406      11360  14.34  35.71  60.01  24.60       134.65
 21   845  1637  1662   508       4652  15.88  35.46  30.26  12.80        94.41
 22   804  1585  1622   339       4350  10.30  29.88  30.98  10.68        81.85
 23   730  1414  1425   374       3943   6.42  17.32  14.77  13.90        52.42
 24   725  1354  1365   342       3786   5.31  12.13   9.89  10.41        37.75
  1   726  1361  1363   325       3775   5.66  13.50  10.57   9.63        39.36
  2   636  1236  1358   282       3512   4.26  10.77  10.06   7.47        32.55
  3   386   843  1350   260       2839   3.39   7.42   9.23   6.82        26.86
  4   340   826  1306   286       2758   2.92   5.51   9.56   4.52        22.50
  5   257   881   971   261       2370   1.97   6.79   7.90   4.21        20.87
  6   134   802   691   208       1835   0.94   5.06   5.59   4.07        15.66
  7     7   407   176   181        771   1.11   3.69   2.29   3.88        10.96
  8    51   107    96   147        401   2.26   2.47   2.46   3.39        10.58
  9    13    71    28    44        156   1.16   1.43   0.55   0.35         3.50
 10     1     8     3    24         36   0.01   0.08   0.02   0.21         0.31
 11     0    13     3   106        122   0.00   0.13   0.57   2.44         3.14
 12     4    17   221     9        251   0.02   0.29   1.71   0.06         2.08
 13    75   265  1887     6       2233   0.52   2.72  12.62   0.04        15.89
 14   558  1235  2040    15       3848   4.30  10.47  15.05   0.57        30.39
 15   943  1458  2092   779       5272   7.79  12.97  18.98   6.31        46.05
 16  1163  2195  3500  1460       8318   9.45  19.21  25.52  11.35        65.53
 17  1146  2250  2115  1743       7254   8.18  20.24  18.92  15.41        62.75
 18  1141  2234  2105  1828       7308   8.08  18.64  17.83  19.35        63.90
 19  1150  2224  2079  1872       7325   8.70  17.15  16.34  19.92        62.11
 20  1142  2250  2110  1884       7386   7.82  18.28  19.18  19.48        64.77
 21  1143  2259  2101  1906       7409   7.69  19.02  17.95  20.88        65.54
 22  1138  2244  2103  1896       7381   7.59  21.01  16.01  18.82        63.44
 23  1130  2216  2084  1874       7304   7.58  16.47  14.64  17.93        56.63
 24  1127  2217  2067  1890       7301   7.92  15.83  13.69  19.06        56.50
  1  1126  2187  2066  1860       7239   8.02  16.48  13.93  17.55        55.98
  2  1121  2169  2058  1841       7189   7.88  14.11  13.24  17.28        52.50
  3  1121  2163  2055  1777       7116   7.86  14.29  14.17  13.74        50.06
  4   864  2151  1979  1773       6767   7.11  13.57  13.65  13.84        48.16
  5   361  2221  1984  1764       6330   4.53  15.45  13.61  12.99        46.58
  6   328  2101  1279  1745       5453   4.03  13.97   8.10  12.25        38.35
  7    68  1414   870  1304       3656   2.47   9.41   5.37   9.46        26.70
  8    50   318   103   744       1215   3.18   3.51   2.13   5.80        14.62
  9    15    64    27   720        826   2.11   1.33   0.80   4.55         8.78
 10     1     6     6   585        598   0.01   0.07   0.50   3.86         4.43
 11     0    20     3   121        144   0.00   0.43   0.04   2.45         2.91
 12    22    10     4    10         46   0.13   1.10   0.02   0.07         1.33
 13    17   210    84     8        319   0.23   1.69   0.84   0.05         2.81
 14   137   922  1129     4       2192   0.99   5.86   8.43   0.18        15.46
 15   712  1177  1154   173       3216   4.50   7.86   7.53   1.43        21.31
 16   712  1185  1166   756       3819   5.28   8.23   7.58   6.80        27.89
 17   722  1248  1204  1048       4222   4.80   8.40   9.35   7.45        29.99
 18   723  1278  2010  1162       5173   5.00   8.79  14.47   9.17        37.44
 19   731  1292  1244  1181       4448   4.80   8.82   9.52  10.46        33.60
 20   727  1294  1256  1208       4485   4.47   9.58  10.63  10.93        35.60
 21   732  1301  1251  1206       4490   4.82   9.32   9.01  10.55        33.71
 22   731  1294  1252  1249       4526   4.99   9.11   8.88  11.72        34.69
 23   731  1283  1239  1238       4491   4.51   9.38   9.39  11.10        34.37
 24   721  1274  1188  1255       4438   4.44   9.86   8.55  13.18        36.03
  1   718  1226  1165  1218       4327   4.45   8.11   8.69  11.25        32.50
  2  6905  1234  1158  1184      10481  42.21   9.45   9.44  10.85        71.95
  3   205  1206  1152  1153       3716   1.54   8.78   8.58  11.38        30.26
  4   205  1192  1155  1114       3666   1.43   8.61   8.49   8.72        27.25
  5    59  1237  1011  1127       3434   0.82   8.70   7.59  10.60        27.70
  6     2   445   694   992       2133   0.01   2.99   4.86  10.60        18.47
  7     1    15    10   947        973   0.02   0.32   0.20   9.87        10.41
  8    48   102    98   926       1174   1.14   2.54   2.16   8.01        13.86
  9    14    60    21   562        657   0.32   1.34   0.57   3.48         5.71
 10     0    10     8   103        121   0.00   0.12   0.92   0.65         1.69
 11     4    14     1   104        123   0.14   0.41   0.16   2.37         3.09
 12    11    23    40    15         89   0.50   0.70   1.27   0.10         2.57
 13   503   907  1314     3       2727   5.86   9.77  12.24   0.02        27.89
 14   788  1400  1579    21       3788  10.66  23.94  25.91   0.80        61.30
 15   821  1432  1684   332       4269  13.92  31.79  33.07   4.56        83.33
 16   846  1462  1740   895       4943  13.24  34.18  34.39  12.04        93.85
 17   825  1588  1701  1327       5441  13.30  35.87  31.61  17.15        97.93
 18   785  1462  1587  1351       5185   8.94  22.61  22.08  17.51        71.15
 19   846  1574  1653  1365       5438  12.40  32.37  29.88  20.90        95.56
 20   863  1525  1720  2322       6430  13.75  36.16  32.59  26.83       109.33
 21   868  1541  1746  1355       5510  15.26  38.65  36.10  17.19       107.20
 22   854  1458  1664  1362       5338  13.18  32.40  34.02  16.57        96.18
 23   735  1311  1495  1400       4941   7.44  15.73  19.06  16.84        59.07
 24   670  1262  1417  1405       4754   6.55  12.67  11.66  19.68        50.55
  1   698  1247  1420  1380       4745   6.82  10.26  12.16  18.20        47.44
  2   690  1245  1427  1345       4707   4.60  11.86  12.45  17.08        46.00
  3   689  1212  1414  1295       4610   5.36  10.00  12.20  11.03        38.60
  4   458  1188  1346  1285       4277   3.06   9.56  10.80  13.50        36.92
  5   110  1250  1300  1266       3926   1.45  10.16   8.60  13.16        33.37
  6    14  1166   6636       3078   1.09   7.95   4.08  11.98        25.10
  7     4   371     6  1105       1486   0.90   2.58   0.05  12.09        15.61
  8    53   111    90  1036       1290   1.16   2.24   1.97   7.88        13.24
  9    16    63    21   217        317   0.33   1.38   0.50   1.40         3.60
 10     1     7     3    14         25   0.01   0.13   0.27   0.20         0.60
 11     5     9     5    97        116   0.14   0.66   0.30   2.14         3.25
 12    22    29   159     4        214   1.14   0.70   2.58   0.02         4.44
 13   181   547   973     8       1709   3.31   7.36  12.19   0.08        22.94
 14   703   925  1199    20       2847  11.13  20.66  24.48   0.96        57.22
 15   902  1713  1694   475       4784  16.21  33.80  36.45   7.58        94.04
 16   921  1563  1759   571       4814  15.27  32.35  34.64  10.08        92.34
 17   911  1562  1751   748       4972  14.10  31.24  34.66  16.53        96.53
 18   850  1482  1635   791       4758  10.35  24.11  23.14  19.12        76.72
 19   899  1547  1606   807       4859  13.30  26.62  23.92  15.79        79.63
 20   906  1625  1741   802       5074  12.09  37.44  30.06  15.95        95.54
 21   920  1606  1768  1187       5481  15.09  35.41  33.61  15.71        99.81
 22   883  1551  1698  1568       5700  13.45  32.39  31.18  20.26        97.27
 23   804  1401  1508  1598       5311   7.85  19.87  16.24  21.53        65.49
 24   794  1349  1471  1590       5204   6.26  16.80  13.58  20.37        57.01
  1   792  1313  1441  1584       5130   5.45  13.37  10.60  19.00        48.41
  2   793  1313  1444  1531       5081   5.65  12.99  10.97  17.07        46.68
  3   783  1265  1437  1504       4989   5.34  10.97  12.96  14.93        44.20
  4   269  1237  1377   964       3847   3.34   9.20  11.15  10.33        34.03
  5    77  1318  1241   996       3632   2.93  11.18   9.50  11.77        35.38
  6    15  1229 14231   961      16436   0.22   7.81  87.99  10.05       106.06
  7     2   539    25   934       1500   0.03   3.55   0.17  10.10        13.86
  8    70   103   137   827       1137   1.29   2.15   2.24   8.64        14.32
  9    17    77    27   579        700   0.34   2.00   1.47   4.81         8.63
 10     3     6     5   433        447   0.02   0.07   1.12   2.67         3.88
 11     3    10     4   130        147   0.12   0.29   0.56   2.50         3.46
 12    27    23    90     3        143   0.34   0.67   1.89   0.62         3.53
 13   285  1149  1590     5       3029   3.81  10.37  15.13   0.83        30.14
 14   886  1528  1819    15       4248  10.37  22.28  31.81   0.62        65.07
 15   933  1638  1893   630       5094  12.52  30.08  41.85   7.18        91.62
 16   977  1698  1882  1209       5766  16.68  35.86  38.53  14.15       105.22
 17   973  1694  1920  1281       5868  15.74  34.28  39.68  18.84       108.53
 18   895  1637  1796  1260       5588   9.95  28.22  24.10  17.44        79.70
 19   940  1705  1846  1315       5806  14.00  28.95  26.46  21.15        90.57
 20   970  1798  1876  1319       5963  14.13  38.25  33.38  19.76       105.52
 21   898  1565  1748  1248       5459  13.43  32.57  30.82  17.07        93.89
 22  1022  1947  2019  1454       6442  13.44  31.08  30.73  20.22        95.48
 23   930  1781  1845  1431       5987   8.03  20.11  18.91  20.06        67.12
 24   930  1736  1762  1333       5761   7.03  15.06  13.41  18.04        53.53
  1   915  1711 14409  1323      18358   6.17  14.76  91.78  18.48       131.19
  2   926  1720  1741  1302       5689   6.44  15.12  13.02  18.93        53.51
  3   697   926  1116  1256       3995   5.36   9.02   7.65  13.59        35.62
  4   336   842  1033  1254       3465   2.89   6.56   7.50  14.87        31.82
  5   126   865   934  1254       3179   1.21   7.42   6.26  12.80        27.69
  6    45   783   327  1219       2374   0.53   5.39   2.52  14.32        22.75
  7     2   625    10  1192       1829   0.03   4.89   0.65  11.39        16.96
  8    48   115    92  1033       1288   1.09   2.18   2.04  10.35        15.66
  9    14    73    32   594        713   0.33   1.76   0.69   4.32         7.10
 10     0    11     4   391        406   0.00   0.12   0.22   2.41         2.75
 11     1     9     8   106        124   0.01   0.11   0.52   2.32         2.95
 12    20    23   117     7        167   0.19   0.93   1.39   0.04         2.56
 13   120   239  5144     5       5508   2.56   5.80  36.49   0.39        45.24
 14   178   504  7044    15       7741   6.92  16.97  64.14   0.52        88.56
 15   211   452   803    75       1541   8.60  22.27  24.63   3.36        58.86
 16   154  1229   820   737       2940   9.88  29.21  29.95  11.81        80.85
 17   146  1282   808   797       3033  10.00  31.06  30.43  15.29        86.79
 18    87  1181   352   852       2472   5.53  23.08  16.64  16.11        61.37
 19   138  1329   348   837       2652   7.11  28.16  20.00  16.55        71.82
 20   168  1242   373   749       2532  10.59  31.27  25.27  15.06        82.19
 21   157  1296   321   723       2497  11.63  33.71  25.54  11.26        82.14
 22   133   629   263   390       1415   9.15  24.72  20.67  12.83        67.37
 23    39   130    99   211        479   2.96   9.88   7.93  14.40        35.18
 24    27    64    39   150        280   1.45   6.68   2.21   8.80        19.14
 
 
        NON-POS TRANSACTIONS                     POS TRANSACTIONS
    ---------------------------------- ----------------------------------------
 HR BAND0 BAND1 BAND2 BAND5     ROTARY  BAND0  BAND1  BAND2  BAND5       ROTARY
 -- ----- ----- ----- ----- ---------- ------ ------ ------ ------ ------------
  1     2    46    23   119        190   1066    975   2059   1456         5556
  2     1    27    14    82        124   1055    976   2042   1456         5529
  3     1    13     4    39         57   1060    976   2024   1456         5516
  4     1    15     1    35         52    606    920   1986   1431         4943
  5    46   117    13    34        210    281    884   1982   1422         4569
  6     7    26     3    25         61     40    881   1982   1417         4320
  7     5    16     6    17         44      6    713   1043   1411         3173
  8    52    98    89    15        254     14     11    278   1262         1565
  9    11    63    24     2        100      7      3      6   1188         1204
 10     0     5     2     4         11      2      2     16    908          928
 11     0     8     2    96        106      2      6      3    150          161
 12     0     8     2     3         13     74     10      9      9          102
 13     0     6     2     1          9    245     66    741      0         1052
 14     1     6     6     3         16    292    831    983      7         2113
 15     1    13     6     2         22    652    935    983    186         2756
 16     0    15     6    11         32    652    949   1040    547         3188
 17     3    30     9    27         69    654    966   1053   1058         3731
 18    10    34    16    33         93    667    977   1075   1097         3816
 19     1    42    21    71        135    666    994   1075   1100         3835
 20     5    66    32    88        191    665    994   1075   1100         3834
 21     8    66    26    94        194    670    994   1075   1100         3839
 22     5    61    39   112        217    561    994   1075   1100         3730
 23     9    34    23   101        167    413    994   1062   1100         3569
 24     7    66    16   120        209    407    994    992   1100         3493
  1     5    16    12    66         99    426    994    997   1100         3517
  2     5    26    14    66        111    305    989    985   1086         3365
  3     4    18    13    45         80     35    955    720   1061         2771
  4    11    20     8    36         75      6    937    539   1058         2540
  5    29    89    12    46        176     21    933    526   1056         2536
  6     0    17     2    36         55      6    589    504   1056         2155
  7     3     7     6    27         43      5      2      3    925          935
  8    50    93    86    28        257      2      1      7    882          892
  9    12    56    23     4         95      2      2      1    573          578
 10     0     3     0     4          7      3      0      3     13           19
 11     2     6     4    93        105      3      0      4      9           16
 12     2     9     9     2         22      6      7      9      4           26
 13    33    74    82     1        190      5      8     11      0           24
 14   110   271   353     0        734      5     11     11      0           27
 15   124   345   379    16        864      6     13     11      0           30
 16   171   351   367    84        973      8     14     15     36           73
 17   127   389   361   164       1041     14     21     18     15           68
 18    86   244   295   200        825     15     10     26    198          249
 19    69   214   255   153        691     24     10     26      8           68
 20   199   537   601   260       1597     20     10     26      8           64
 21   148   454   488   173       1263     10     10     24      8           52
 22   130   405   373   201       1109      8     10     22      8           48
 23    47   160   178   226        611      5     10     13      8           36
 24    25    85   101   182        393      6     10     11      8           35
  1    30    71    59   175        335     12     10     11    175          208
  2    16    51    43   135        245     24     10     11    390          435
  3     8    24    17    84        133     21   7369  10515    388        18293
  4     8    28    26    83        145      9     20     13    388          430
  5    26   112    19    53        210      5     22     12    388          427
  6     2    27     9    75        113     17     10     13    390          430
  7     2     9     2    33         46      5      7     32    390          434
  8    51    98    90    28        267      1      4     38    390          433
  9    11    63    25    10        109      0      1      0    390          391
 10     0     6     1     2          9      3      0      0     32           35
 11     2     8     4    93        107      5      1      4      8           18
 12     3    16    11     0         30      4     10     36      1           51
 13    46    57    77     0        180    152    862   1143      4         2161
 14   112   280   342    27        761    454   1018   1164      6         2642
 15   146   360   409    42        957    547   1026   1179    568         3320
 16   163   363   407   111       1044    549   1065   1196   1049         3859
 17   137   356   423   163       1079    559   1071   1197   1092         3919
 18    86   246   263   172        767    557   1071   1209   1092         3929
 19   102   257   311   183        853    562   1071   1205   1092         3930
 20   169   352   399   185       1105    557   1071   1202   1092         3922
 21   146   388   407   197       1138    549   1071   1205   1092         3917
 22   130   342   353   181       1006    558   1071   1208   1092         3929
 23    42   152   133   180        507    551   1071   1206   1092         3920
 24    24    83    69   162        338    549   1071   1210    911         3741
  1    22    74    38   148        282    562   1071   1210   1010         3853
  2    10    60    34   126        230    555   1071   1210   1010         3846
  3     5    36    17    99        157    561   1062   1197   1010         3830
  4    12    23     7    85        127    262   1036   1162   1010         3470
  5    35   102    19    89        245    117   1026   1054   1010         3207
  6     9    46     7    76        138     16    539    138   1010         1703
  7     3    13     5    36         57      3     13     75    931         1022
  8    52   101    89    26        268      0      7     33    840          880
  9    12    63    25    17        117      1      1     10    561          573
 10     0     6     2     2         10      0      0      6    237          243
 11     4     8     1    95        108      0      8      2      8           18
 12     1    16     9     3         29     42      7    292      1          342
 13    25    83    56     1        165    198    507   1207      1         1913
 14   115   257   320    11        703    351    600   1238     13         2202
 15   154   369   446    55       1024    583    881   1243    611         3318
 16   159   374   510    92       1135    586   1100   1251    981         3918
 17   155   398   513   165       1231    596   1100   1254    988         3938
 18    99   269   266   181        815    590   1108   1260   1012         3970
 19   178   336   305   169        988    597   1108   1260   1012         3977
 20   183   423   438   166       1210    602   1108   1257    994         3961
 21   227   565   618   180       1590    589   1108   1256   1063         4016
 22   220   514   536   207       1477    593   1100   1250   1076         4019
 23    75   170   169   185        599    591   1109   1256   1076         4032
 24    32    76    59   175        342    590   1109   1256   1076         4031
  1    28    80    37   141        286    600   1102   1256   1076         4034
  2    14    57    32   143        246    594   1109   1256   1071         4030
  3    13    32    21    99        165    598   1109   1252   1069         4028
  4    11    27    12   108        158    275   1105   1212   1072         3664
  5    33   118    12   110        273     25   1153   1007   1072         3257
  6     9    24     8    85        126      9   1060    654   1047         2770
  7     4    11     5    37         57      2    306     21   1044         1373
  8    52   103    88    32        275      1      2      5    923          931
  9    13    67    21     9        110      2      6      2    668          678
 10     0     6     2     1          9      1      3      2    109          115
 11     4     7     2    97        110      2      4      4      9           19
 12     4    17     9     0         30     11     53    388      3          455
 13    32    57    68     1        158    342    798   1241      7         2388
 14   118   228   306     6        658    584   1160   1242      6         2992
 15   155   355   390    47        947    830   1163   1265    674         3932
 16   171   301   385   109        966    834   1196   1282    993         4305
 17   158   305   367   143        973    842   1209   1281   1158         4490
 18    83   176   234   157        650    521   1220   1292   1163         4196
 19   101   268   250   186        805    417   1220   1287   1185         4109
 20   141   340   298   202        981    419   1220   1283   1185         4107
 21   160   302   307   123        892    417   1220   1292   1185         4114
 22   117   256   295   145        813    409   1211   1290   1185         4095
 23    44   140   126   183        493    415   1186   1173   1083         3857
 24    32    88    52   172        344    422   1185   1043   1107         3757
  1    18    70    48   148        284    415   1185   1066   1130         3796
  2    22    48    32   123        225    421   1185   1066   1130         3802
  3    14    29    25    84        152    419   1185   1050   1130         3784
  4     6    33    12   100        151    157   1185   1030   1130         3502
  5    34   108     8    83        233      5    890    831   1129         2855
  6     6    21     6    60         93     19    426    651   1104         2200
  7     2    10     4    54         70      2      9    657   1103         1771
  8    52   102    88    36        278      0      2    138    970         1110
  9    17    66    21     4        108      0      0      6    629          635
 10     0     5     0     2          7      2      0      3     18           23
 11    11     7     4    99        121      1      1      3      6           11
