SAN FRANCISCO
-------------
 
DATE
----
871229
871230
871231
880101
880102
880103
880104
880105
880106
880107
880108
880109
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
  3       52       27               79     2.26     0.55             2.81
  4       61        9               70     1.67     0.18             1.85
  5       84       33              117     1.34     0.73             2.07
  6       99       29              128     2.31     1.31             3.62
  7       30       12               42     0.72     1.16             1.88
  8       88       93              181     1.94     2.59             4.53
  9      227       24              251     4.98     0.89             5.88
 10      217       15              232     5.09     0.17             5.26
 11       78       17               95     1.25     0.17             1.42
 12       68      244              312     0.42     1.58             2.00
 13      192      350              542     1.19     2.32             3.50
 14      279      349              628     2.00     2.28             4.28
 15      293      351              644     2.78     2.28             5.07
 16      292      357              649     3.22     3.47             6.68
 17      293      361              654     2.57     4.54             7.11
 18      330      389              719     3.18     4.16             7.34
 19      292      315              607     2.76     3.64             6.40
 20     1109      425             1534     7.41     3.87            11.28
 21      996      442             1438     8.55     3.96            12.51
 22     1007      436             1443     7.97     4.66            12.64
 23      957      446             1403     7.04     5.33            12.37
 24      942      416             1358     6.74     4.19            10.93
  1      952      418             1370     7.74     4.89            12.63
  2      959      402             1361     7.66     4.30            11.95
  3      940     3114             4054     6.53    20.52            27.05
  4      925      396             1321     5.98     3.66             9.64
  5      924      403             1327     6.06     3.80             9.86
  6      937      375             1312     7.43     3.88            11.32
  7      902      275             1177     6.42     2.75             9.17
  8      864      199             1063     6.72     4.07            10.80
  9      563       25              588     7.39     1.52             8.91
 10      561      401              962     7.03     3.50            10.53
 11      406      409              815     3.40     3.57             6.97
 12      384      418              802     3.28     3.66             6.94
 13      572      465             1037     3.59     3.80             7.39
 14     1530      788             2318    10.30     5.54            15.84
 15     1722      810             2532    15.40     7.17            22.57
 16     2560      863             3423    26.14     7.47            33.62
 17     2878      902             3780    32.22     8.28            40.50
 18     2893      947             3840    30.36     8.51            38.87
 19     2892      968             3860    27.99     7.74            35.73
 20     2915      975             3890    26.54     7.69            34.24
 21     2915      942             3857    26.84     6.95            33.79
 22     2917      972             3889    24.67     6.99            31.66
 23     2877      957             3834    22.01     6.65            28.66
 24     2821      919             3740    22.51     6.79            29.30
  1     2684      885             3569    18.67     5.67            24.34
  2     1920      881             2801    13.48     5.71            19.20
  3     1756      857             2613    12.15     6.08            18.22
  4     1749      796             2545    11.66     5.74            17.40
  5    18317      812            19129   113.93     5.57           119.50
  6     1742      804             2546    12.81     5.58            18.40
  7     1648      484             2132    10.83     3.23            14.06
  8     1695      517             2212    11.77     5.09            16.86
  9     1275      168             1443    10.91     1.29            12.20
 10      952       15              967     9.47     0.20             9.67
 11      709      218              927     5.43     1.50             6.93
 12      838      242             1080     5.23     1.57             6.80
 13     1791      395             2186    10.97     2.76            13.73
 14     1805      412             2217    11.77     2.69            14.45
 15     1814      413             2227    11.90     2.62            14.52
 16     1876      419             2295    12.30     2.94            15.24
 17     1896      419             2315    13.97     2.77            16.74
 18     1947      484             2431    14.11     4.01            18.12
 19     1492      527             2019    11.36     4.47            15.83
 20     1427      528             1955    11.45     4.65            16.11
 21     1445      529             1974    13.00     4.21            17.21
 22     1452     3619             5071    17.81    23.33            41.14
 23     1441      526             1967    14.39     4.27            18.66
 24      868      447             1315     7.92     3.56            11.48
  1      806      453             1259     7.29     4.31            11.60
  2      812      454             1266     8.73     3.36            12.09
  3      799      453             1252     9.33     3.71            13.03
  4      744      432             1176     6.71     3.20             9.91
  5      746      314             1060     5.62     2.71             8.33
  6      766      270             1036     7.01     2.40             9.41
  7      729      280             1009     5.09     2.12             7.21
  8      671      145              816     5.55     2.58             8.14
  9      622       26              648     7.18     0.49             7.67
 10      645       20              665     7.31     0.19             7.49
 11      500       26              526     4.27     0.44             4.71
 12      771      629             1400     5.29     4.42             9.71
 13      901      730             1631     9.73     8.37            18.10
 14     1316     1121             2437    26.80    24.45            51.25
 15     2348     1499             3847    86.83    29.12           115.95
 16     2382     1665             4047    97.91    36.99           134.90
 17     2501     1743             4244    97.61    37.94           135.55
 18     2438     1606             4044    94.14    34.44           128.57
 19     2317     1553             3870    79.89    29.77           109.65
 20     2608     1761             4369    94.50    39.91           134.41
 21     2615     1726             4341   101.49    41.86           143.35
 22     2666     1746             4412   103.00    40.78           143.78
 23     2434     1291             3725    87.95    29.19           117.14
 24     2058     1016             3074    58.18    11.96            70.14
  1     1787      824             2611    34.25     7.99            42.23
  2     1690      820             2510    28.23     7.63            35.86
  3     1040      735             1775    12.59     6.25            18.85
  4      323      143              466     7.96     3.34            11.30
  5      335      121              456     6.64     2.12             8.77
  6      339      132              471     5.41     1.94             7.35
  7      285       84              369     4.00     1.32             5.32
  8      299      110              409     4.67     2.02             6.69
  9      333       22              355     6.49     0.37             6.86
 10      318       16              334     6.35     0.18             6.53
 11       96       21              117     2.98     0.31             3.29
 12      500      161              661     5.31     1.48             6.80
 13      697      341             1038     8.30     5.69            13.99
 14     1356      817             2173    32.23    16.41            48.64
 15     2252     1331             3583    87.32    29.29           116.61
 16     2282     1420             3702    89.12    36.49           125.60
 17     2313     1473             3786    95.74    40.78           136.52
 18     2160     1393             3553    88.22    29.89           118.12
 19     2204     1313             3517    71.56    21.05            92.60
 20     2299     1444             3743    85.97    29.32           115.28
 21     2500     1536             4036   110.90    40.81           151.72
 22     2631     1544             4175   124.44    41.03           165.48
 23     2057     1402             3459   112.31    32.49           144.80
 24     1638     1118             2756    64.50    15.63            80.13
  1     1311      737             2048    29.40     7.94            37.34
  2     1209      706             1915    23.45     8.75            32.19
  3      969      670             1639    14.56     6.30            20.86
  4      827      621             1448    12.53     5.92            18.45
  5      816      641             1457     8.31     5.80            14.11
  6      816      545             1361     6.91     4.35            11.26
  7      743      395             1138     4.91     3.18             8.09
  8      520      475              995     5.42     4.34             9.76
  9      570      236              806     7.40     1.79             9.19
 10      517       11              528     6.84     0.08             6.93
 11      348       13              361     3.78     0.38             4.16
 12      516      139              655     3.97     1.35             5.32
 13      751      461             1212     7.23     6.32            13.55
 14     1306      725             2031    32.91    15.46            48.38
 15     2402      862             3264    93.12    27.88           121.01
 16     2565      873             3438   123.22    34.62           157.84
 17     2598      902             3500   124.13    34.38           158.52
 18     2488      819             3307   106.06    29.98           136.05
 19     2400      765             3165    80.31    21.18           101.49
 20     2542      928             3470   107.53    34.76           142.29
 21     2599     1012             3611   125.09    38.88           163.96
 22     2604     1016             3620   117.35    39.88           157.23
 23     2599      835             3434    89.62    22.62           112.23
 24     2055      641             2696    48.86     8.33            57.19
  1     1603      645             2248    27.27     6.03            33.29
  2     1274      607             1881    17.24     3.99            21.24
  3      892      573             1465    11.52     3.74            15.27
  4      829      579             1408    10.95     3.93            14.88
  5      844      584             1428    12.47     5.41            17.88
  6      819      565             1384     9.03     4.09            13.12
  7      704      557             1261     4.69     3.85             8.53
  8     7645      420             8065    48.18     3.92            52.11
  9      562      143              705     6.75     1.08             7.83
 10      421       11              432     6.66     0.29             6.95
 11      101       17              118     1.53     0.27             1.80
 12      527      382              909     3.67     2.75             6.42
 13      835      545             1380     8.20     6.20            14.40
 14     1184      671             1855    25.63    13.88            39.51
 15     1769      934             2703    80.56    21.08           101.64
 16     1990     1516             3506   107.10    39.62           146.72
 17     2045     1055             3100   106.45    31.89           138.34
 18     2007      986             2993    96.18    24.88           121.05
 19     2047      768             2815    76.50    14.32            90.82
 20     2546      786             3332    91.48    21.44           112.92
 21     2561      875             3436    99.65    27.50           127.15
 22     2674      847             3521    97.03    28.23           125.26
 23     2201      730             2931    79.63    18.72            98.35
 24     1    597             2051    43.09     7.95            51.03
  1     1183      591             1774    22.87     5.87            28.75
  2     1067      582             1649    17.99     4.60            22.59
  3      599      547             1146    10.55     4.36            14.91
  4      463      540             1003     7.63     4.95            12.59
  5      457      540              997     6.56     5.01            11.57
  6      446      385              831     5.82     2.79             8.61
  7      401      142              543     4.25     1.01             5.26
  8      282      107              389     4.12     2.30             6.42
  9      252       20              272     6.34     0.35             6.69
 10      267       12              279     6.16     0.22             6.38
 11       92        7               99     2.56     0.09             2.65
 12       28      178              206     1.47     1.71             3.18
 13      407      553              960     7.14     7.33            14.47
 14      723      628             1351    26.90    14.21            41.11
 15     1439      731             2170    85.43    19.74           105.18
 16     1454      762             2216    92.09    28.96           121.05
 17     1892      880             2772   103.67    32.00           135.67
 18     1291      780             2071    63.63    19.67            83.30
 19     2157      746             2903    71.13    15.12            86.25
 20     2600      851             3451   103.81    30.52           134.32
 21     2580      830             3410   110.90    31.14           142.05
 22     2707      854             3561   110.93    30.81           141.74
 23     1702      739             2441    83.56    20.92           104.48
 24     1309      622             1931    39.61     9.04            48.65
  1      834      781             1615    16.81     5.88            22.70
  2      678     1901             2579    10.28    13.27            23.56
  3      572      584             1156     5.07     4.02             9.10
  4      503      560             1063     3.70     4.05             7.75
  5      516      606             1122     4.93     4.83             9.76
  6      514      569             1083     5.64     4.33             9.97
  7      450      594             1044     3.43     4.47             7.90
  8      420      347              767     3.95     4.35             8.30
  9      563       36              599     7.11     0.93             8.04
 10      515       20              535     6.86     0.37             7.23
 11       65       28               93     1.24     1.44             2.68
 12       33       19               52     0.29     0.77             1.06
 13       22       19               41     0.96     0.40             1.36
 14       72       30              102     3.40     1.79             5.19
 15      151       46              197     9.68     3.73            13.41
 16      277       72              349    20.16     5.15            25.32
 17      276       84              360    21.62     4.26            25.88
 18      343       81              424    22.08     4.80            26.88
 19      331       89              420    20.45     6.07            26.52
 20     4029       99             4128    40.06     3.78            43.84
 21     7232      100             7332    57.05     4.07            61.12
 22      215      114              329    15.31     5.06            20.37
 23      224       66              290    10.66     2.23            12.89
 24      136       53              189     7.00     1.39             8.38
 
 
        NON-POS TRANSACTIONS                 POS TRANSACTIONS
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 --    -----    -----           ------    -----    -----           ------
  1      275       58              333     1962      804             2766
  2      142       78              220     1955      805             2760
  3       79       45              124     1355      791             2146
  4       68       26               94     1210      789             1999
  5       71       46              117     1204      789             1993
  6       86       31              117     1188      792             1980
  7       22       16               38     1154      793             1947
  8       88       94              182      990      260             1250
  9      213       14              227       58        7               65
 10      216        4              220       47        4               51
 11       57        3               60      121       18              139
 12        7       11               18      680       63              743
 13       52       41               93     1135      832             1967
 14      284      158              442     1356      833             2189
 15      818      218             1036     1877      878             2755
 16     1041      283             1324     1899     1728             3627
 17     1075      386             1461     1934     1745             3679
 18      899      256             1155     1991     1741             3732
 19      772      170              942     1999     1741             3740
 20      800      311             1111     1999     1741             3740
 21      869      373             1242     1999     1741             3740
 22      866      390             1256     1999     1741             3740
 23      867      256             1123     1999     1741             3740
 24      517      118              635     1978     1316             3294
  1      239       48              287     1970      898             2868
  2      153       45              198     1970      893             2863
  3      109       35              144     1913      873             2786
  4       76       23               99     1216      844             2060
  5       58       33               91     1201      838             2039
  6      112       31              143     1179      836             2015
  7       29       16               45     1152      406             1558
  8       85      107              192      983      156             1139
  9      217       14              231      601       12              613
 10      209        4              213      576        8              584
 11       53        4               57      539        6              545
 12       10        6               16        5        2                7
 13       53       37               90       14        0               14
 14      271      174              445       22       88              110
 15      851      213             1064       37      337              374
 16      898      274             1172      173      347              520
 17     1064      351             1415       74      364              438
 18      898      260             1158       54      364              418
 19      738      169              907       30      364              394
 20      736      310             1046       22      364              386
 21      786      326             1112       22      364              386
 22      756      328             1084       22      364              386
 23      674      225              899       22      364              386
 24      372       84              456        7      190              197
  1        0        0                0        0        0                0
  2        0        0                0        0        0                0
  3        0        0                0        0        0                0
  4        0        0                0        0        0                0
  5        0        0                0        0        0                0
  6        0        0                0        0        0                0
  7        0        0                0        0        0                0
  8        0        0                0        0        0                0
  9        0        0                0        0        0                0
 10        0        0                0        0        0                0
 11        0        0                0        0        0                0
 12        0        0                0        0        0                0
 13        0        0                0        0        0                0
 14        0        0                0        0        0                0
 15        0        0                0        0        0                0
 16        0        0                0        0        0                0
 17        0        0                0        0        0                0
 18        0        0                0        0        0                0
 19        4        0                4        0        0                0
 20        3        2                5        0        0                0
 21        1        0                1        0        0                0
 22        1        1                2        0        0                0
 23        1        2                3        0        0                0
 24        8        2               10        0        0                0
  1       81       19              100        4       11               15
  2       59       24               83        1        8                9
  3       50       23               73        2        4                6
  4       62        9               71        2        0                2
  5       74       33              107       11        0               11
  6       91       29              120       11        0               11
  7       30       11               41        5        2                7
  8       85       91              176        5        3                8
  9      220       15              235        9       12               21
 10      208        3              211       14       12               26
 11       51        2               53       28       15               43
 12        1        2                3       67      242              309
 13        2        7                9      190      343              533
 14        5        6               11      274      343              617
 15       20        6               26      274      345              619
 16       15       11               26      279      346              625
 17       18       13               31      275      350              625
 18       36       18               54      297      375              672
 19       47       22               69      249      295              544
 20       43       33               76     1067      395             1462
 21       51       42               93      948      401             1349
 22       44       39               83      965      403             1368
 23       38       45               83      920      403             1323
 24       32       38               70      910      382             1292
  1       41       48               89      912      373             1285
  2       48       31               79      913      373             1286
  3       27       29               56      916     3087             4003
  4       26       24               50      899      373             1272
  5       35       33               68      890      373             1263
  6       53       36               89      886      340             1226
  7       18       14               32      887      263             1150
  8       77      102              179      787       98              885
  9      203       18              221      360       10              370
 10      205        3              208      362      399              761
 11       55        4               59      353      406              759
 12       12        5               17      372      414              786
 13        8       11               19      565      456             1021
 14       25       19               44     1505      769             2274
 15      124       40              164     1604      771             2375
 16      211       48              259     2359      818             3177
 17      241       44              285     2646      860             3506
 18      255       63              318     2653      886             3539
 19      253       82              335     2653      886             3539
 20      254       91              345     2675      887             3562
 21      235       76              311     2690      867             3557
 22      248       88              336     2680      884             3564
 23      206       78              284     2679      879             3558
 24      147       43              190     2679      879             3558
  1       76       41              117     2611      844             3455
  2       70       46              116     1851      836             2687
  3       52       40               92     1704      817             2521
  4       47       27               74     1703      772             2475
  5       50       44               94    18269      769            19038
  6      117       35              152     1630      769             2399
  7       30       30               60     1620      454             2074
  8       78      105              183     1618      412             2030
  9      202       16              218     1073      153             1226
 10      207        4              211      750       11              761
 11       57        9               66      654      209              863
 12        7        3               10      831      239             1070
 13        6        5               11     1785      390             2175
 14        9        6               15     1796      406             2202
 15       16        6               22     1799      407             2206
 16       23       11               34     1853      408             2261
 17       38       10               48     1860      409             2269
 18       42       16               58     1906      469             2375
 19       77       40              117     1417      488             1905
 20       83       42              125     1345      488             1833
 21       93       46              139     1356      484             1840
 22      102       66              168     1356     3554             4910
 23      103       49              152     1344      479             1823
 24       55       26               81      815      421             1236
  1       47       42               89      762      412             1174
  2       54       36               90      762      420             1182
  3       51       40               91      753      414             1167
  4       38       27               65      710      406             1116
  5       37       38               75      710      279              989
  6       61       29               90      708      241              949
  7       26       30               56      710      250              960
  8       79       97              176      594       48              642
  9      207       14              221      415       13              428
 10      207        2              209      448       18              466
 11       54        3               57      448       23              471
 12       25       18               43      746      611             1357
 13       67       57              124      835      673             1508
 14      316      209              525     1008      924             1932
 15      919      298             1217     1489     1217             2706
 16      959      425             1384     1509     1272             2781
 17     1066      503             1569     1519     1272             2791
 18      987      349             1336     1538     1289             2827
 19      838      291             1129     1547     1285             2832
 20     1111      496             1607     1562     1285             2847
 21     1160      468             1628     1553     1291             2844
 22     1213      542             1755     1550     1243             2793
 23      975      321             1296     1550      996             2546
 24      603       85              688     1523      941             2464
  1      314       53              367     1506      775             2281
  2      206       56              262     1505      768             2273
  3       98       28              126      954      709             1663
  4       59       40               99      272      106              378
  5       57       42               99      284       84              368
  6       69       50              119      275       85              360
  7       26       19               45      265       67              332
  8       93       97              190      209       13              222
  9      217       15              232      118        8              126
 10      214        3              217      111       13              124
 11       54        5               59       44       16               60
 12       16        9               25      485      152              637
 13       43       41               84      657      301              958
 14      396      204              600      972      620             1592
 15      959      347             1306     1345      997             2342
 16     1002      376             1378     1358     1074             2432
 17     1011      411             1422     1379     1094             2473
 18      856      321             1177     1384     1101             2485
 19      863      241             1104     1398     1089             2487
 20      962      356             1318     1406     1102             2508
 21     1173      459             1632     1406     1102             2508
 22     1422      486             1908     1332     1102             2434
 23     1080      338             1418     1095     1095             2190
 24      651      110              761     1068     1031             2099
  1      312       72              384     1034      671             1705
  2      190       36              226     1038      674             1712
  3       95       56              151      886      619             1505
  4       79       30              109      759      592             1351
  5       79       56              135      744      589             1333
  6       81       34              115      738      511             1249
  7       25       21               46      723      374             1097
  8       85      100              185      438      376              814
  9      218       18              236      355      221              576
 10      215        1              216      307       10              317
 11       64        3               67      286       10              296
 12       12        6               18      506      133              639
 13       59       45              104      694      417             1111
 14      314      206              520      997      532             1529
 15      784      332             1116     1667      541             2208
 16      935      345             1280     1734      563             2297
 17      988      363             1351     1728      567             2295
 18      828      267             1095     1758      588             2346
 19      727      208              935     1754      583             2337
 20      875      353             1228     1747      596             2343
 21      966      454             1420     1748      597             2345
 22      955      445             1400     1750      605             2355
 23      935      270             1205     1762      589             2351
 24      526       80              606     1594      569             2163
  1      270       68              338     1367      583             1950
  2      150       28              178     1136      580             1716
  3       87       24              111      814      549             1363
  4       52       42               94      781      537             1318
  5       71       54              125      781      532             1313
  6       78       35              113      752      532             1284
  7       18       25               43      688      532             1220
  8       78       94              172     7569      326             7895
  9      220       17              237      342      128              470
 10      217        5              222      213        7              220
 11       68        4               72       36       13               49
 12       31        8               39      496      374              870
 13       38       36               74      797      509             1306
 14      237      168              405      955      510             1465
 15      657      212              869     1155      739             1894
 16      749      388             1137     1324     1153             2477
 17      810      272             1082     1335      814             2149
 18      770      202              972     1344      810             2154
 19      735      135              870     1389      648             2037
 20      737      249              986     1881      551             2432
 21      764      334             1098     1885      564             2449
 22      939      311             1250     1835      564             2399
 23      850      191             1041     1427      558             1985
 24      465       69              534     1045      534             1579
  1      226       51              277      979      545             1524
  2      136       33              169      944      550             1494
  3       84       16              100      526      531             1057
  4       55       25               80      415      518              933
  5       48       32               80      415      511              926
  6       64       36              100      389      352              741
  7       18       18               36      383      125              508
  8       85       89              174      199       18              217
  9      211       13              224       42        7               49
 10      217        4              221       55        8               63
 11       51        1               52       44        6               50
 12        9       11               20       20      167              187
 13       44       23               67      365      532              897
 14      250      100              350      483      532             1015
 15      672      203              875      803      537             1340
 16      737      248              985      801      538             1339
 17      805      340             1145     1175      560             1735
 18      620      218              838      731      584             1315
 19      723      192              915     1480      560             2040
 20      854      285             1139     1824      576             2400
 21      868      282             1150     1824      576             2400
 22      978      306             1284     1826      576             2402
 23      712      188              900     1090      576             1666
 24      421       75              496      944      565             1509
  1      191       47              238      665      737             1402
  2      104       52              156      585     1853             2438
  3       70       33              103      510      552             1062
  4       39       22               61      466      538             1004
  5       50       72              122      466      534             1000
  6       75       35              110      445      535              980
  7       22       56               78      430      538              968
  8       86      125              211      335      223              558
  9      218       33              251      345        4              349
 10      224        5              229      298       15              313
 11       55       11               66       12       18               30
 12       13        8               21       20       13               33
 13       17        7               24        6       12               18
 14       66       30               96        6        0                6
 15      155       48              203        3        0                3
 16      281       64              345        8       10               18
 17      295       69              364        0       16               16
 18      363       68              431        0       18               18
 19      359       70              429        0       23               23
 20      309       86              395     3743       19             3762
 21      276       78              354     6972       25             6997
 22      229      111              340        0        8                8
 23      240       69              309        0        0                0
 24      149       55              204        0        0                0
 
 
T = TOTAL CONNECT HOURS
M = PEAK CONNECT HOURS
P = PEAK % TOTAL CONNECT HOURS
H = PEAK HOUR
 
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
DAY    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
---    -----    -----           ------    -----    -----           ------
 1T    43566    26870            70436   965.43   365.29          1330.72
  M     2925     2107             5028   128.41    42.85           171.26
  P      6.7      7.8              7.1     13.3     11.7             12.9
  H       17       22               17       17       17               17
 2T    22527    12201            34728   787.59   258.82          1046.41
  M     2190      942             3132   117.53    35.72           153.26
  P      9.7      7.7              9.0     14.9     13.8             14.6
  H        1        1                1       17       17               17
 3T       18        5               23     1.15     2.71             3.86
  M        8        2                9     1.01     1.01             2.01
  P     44.4     40.0             39.1     87.1     37.2             52.0
  H       24       20               24       24       23               24
 4T     8119     5199            13318    83.04    56.24           139.28
  M     1109      446             1534     8.55     5.33            12.64
  P     13.7      8.6             11.5     10.3      9.5              9.1
  H       20       23               20       21       23               22
 5T    38809    17343            56152   344.24   143.69           487.94
  M     2917     3114             4054    32.22    20.52            40.50
  P      7.5     18.0              7.2      9.4     14.3              8.3
  H       22        3                3       17        3               17
 6T    54539    15397            69936   387.30   109.51           496.81
  M    18317     3619            19129   113.93    23.33           119.50
  P     33.6     23.5             27.4     29.4     21.3             24.1
  H        5       22                5        5       22                5
 7T    35195    20959            56154  1017.39   394.70          1412.09
  M     2666     1761             4412   103.00    41.86           143.78
  P      7.6      8.4              7.9     10.1     10.6             10.2
  H       22       20               22       22       21               22
 8T    31734    18321            50055  1095.51   373.83          1469.34
  M     2631     1544             4175   124.44    41.03           165.48
  P      8.3      8.4              8.3     11.4     11.0             11.3
  H       22       22               22       22       22               22
 9T    36071    15028            51099  1182.90   364.50          1547.40
  M     2604     1016             3620   125.09    39.88           163.96
  P      7.2      6.8              7.1     10.6     10.9             10.6
  H       22       22               22       21       22               21
10T    39534    15393            54927  1071.47   295.06          1366.53
  M     7645     1516             8065   107.10    39.62           146.72
  P     19.3      9.8             14.7     10.0     13.4             10.7
  H        8       16                8       16       16               16
11T    25798    12627            38425   995.14   292.71          1287.85
  M     2707      880             3561   110.93    32.00           142.05
  P     10.5      7.0              9.3     11.1     10.9             11.0
  H       22       17               22       22       17               21
12T    18971     6898            25869   297.74    91.47           389.20
  M     7232     1901             7332    57.05    13.27            61.12
  P     38.1     27.6             28.3     19.2     14.5             15.7
  H       21        2               21       21        2               21
 
 
        NON-POS TRANSACTIONS                 POS TRANSACTIONS
       -------------------------------    -------------------------------
DAY    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
---    -----    -----           ------    -----    -----           ------
 1T    10184     3386            13570    34089    23693            57782
  M     1075      390             1461     1999     1745             3740
  P     10.6     11.5             10.8      5.9      7.4              6.5
  H       17       22               17       19       17               19
 2T     9447     3117            12564    13804     9282            23086
  M     1064      351             1415     1970      898             2868
  P     11.3     11.3             11.3     14.3      9.7             12.4
  H       17       17               17        1        1                1
 3T       18        7               25        0        0                0
  M        8        2               10        0        0                0
  P     44.4     28.6             40.0 ******** ******** ****************
  H       24       20               24        0        0                0
 4T     1363      541             1904     6807     4690            11497
  M      220       91              235     1067      403             1462
  P     16.1     16.8             12.3     15.7      8.6             12.7
  H        9        8                9       20       22               20
 5T     3007     1030             4037    35925    16351            52276
  M      255      102              345     2690     3087             4003
  P      8.5      9.9              8.5      7.5     18.9              7.7
  H       18        8               20       21        3                3
 6T     1640      723             2363    52946    14688            67634
  M      207      105              218    18269     3554            19038
  P     12.6     14.5              9.2     34.5     24.2             28.1
  H       10        8                9        5       22                5
 7T    11100     4420            15520    24949    16823            41772
  M     1213      542             1755     1562     1291             2847
  P     10.9     12.3             11.3      6.3      7.7              6.8
  H       22       22               22       20       21               20
 8T    11841     4107            15948    20828    14504            35332
  M     1422      486             1908     1506     1102             2508
  P     12.0     11.8             12.0      7.2      7.6              7.1
  H       22       22               22        1       20               20
 9T    10347     3801            14148    26747    11527            38274
  M      988      454             1420     1762      674             2355
  P      9.5     11.9             10.0      6.6      5.8              6.2
  H       17       21               21       23        2               22
10T     9091     2971            12062    31347    12647            43994
  M      939      388             1250     7569     1153             7895
  P     10.3     13.1             10.4     24.1      9.1             17.9
  H       22       16               22        8       16                8
11T     8888     2789            11677    17757    10050            27807
  M      978      340             1284     1826      584             2402
  P     11.0     12.2             11.0     10.3      5.8              8.6
  H       22       17               22       22       18               22
12T     3886     1254             5140    15315     5691            21006
  M      363      125              431     6972     1853             6997
  P      9.3     10.0              8.4     45.5     32.6             33.3
  H       18        8               18       21        2               21
 
 
           BAND4           BAND5     ROTARY
           -----           -----     ------
           74919           26691     101610
             552             399        951
          355244          164727     519971
      4621177446       773088701 5394266147
nV~}¢
