SAN FRANCISCO
-------------
 
DATE
----
871119
871120
871121
871122
871123
871124
871125
871126
871127
871128
871129
871130
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 22     3571     1876             5447    85.73    41.80           127.53
 23     3522     7367            10889    75.10    63.41           138.51
 24     3147     1333             4480    55.23    13.04            68.27
  1     2814     1140             3954    37.04    11.42            48.46
  2     2704     1072             3776    27.09    10.05            37.14
  3     2567     1052             3619    21.86     8.05            29.90
  4     1744      924             2668    16.80     7.50            24.31
  5     1640      762             2402    12.48     6.36            18.84
  6     1645      708             2353    12.70     5.98            18.69
  7     1535      471             2006    11.43     4.51            15.94
  8      796      419             1215     7.51     3.98            11.49
  9      829       20              849     9.80     0.40            10.20
 10      805       10              815     8.32     0.18             8.50
 11      750       20              770     6.01     0.26             6.26
 12      845      810             1655     6.30     5.58            11.88
 13      949     1568             2517     9.18    12.71            21.89
 14     1739     1780             3519    27.71    19.46            47.17
 15     3006     2210             5216    63.42    26.82            90.23
 16     3594     1493             5087    72.95    25.81            98.76
 17     3842     1110             4952    74.69    23.36            98.05
 18     3621      812             4433    67.02    17.40            84.42
 19     3615      935             4550    57.34    17.42            74.76
 20     3849     1100             4949    64.29    22.64            86.93
 21     3345      954             4299    81.00    31.39           112.38
 22     3230      897             4127    76.75    26.13           102.88
 23     3164      750             3914    67.62    13.99            81.62
 24     2758      621             3379    49.95     6.41            56.36
  1     2175      619             2794    28.59     5.73            34.32
  2     2079      502             2581    19.79     3.60            23.39
  3     1580      287             1867    12.98     2.95            15.92
  4     1367      249             1616    10.92     3.14            14.06
  5     1444      289             1733    12.53     3.48            16.01
  6     1592      264             1856    13.53     1.98            15.51
  7     1583      251             1834    12.79     1.84            14.63
  8     1618     6869             8487    12.50    43.40            55.89
  9     1257       64             1321    12.52     1.08            13.59
 10     1005       41             1046    10.99     0.69            11.68
 11      911       10              921     7.31     0.64             7.95
 12     1254      360             1614     9.49     2.84            12.33
 13     1322      625             1947    11.39     7.39            18.78
 14     1785      764             2549    28.73    15.42            44.14
 15     2745     1300             4045    69.04    25.28            94.32
 16     2913     1475             4388    84.36    27.37           111.73
 17     2872     1487             4359    77.28    24.31           101.59
 18     2794     1409             4203    68.27    16.87            85.15
 19     2537     1455             3992    59.20    19.21            78.41
 20     3072     1599             4671    67.07    30.86            97.93
 21     2960     1535             4495    66.25    26.31            92.56
 22     2993     1535             4528    71.39    27.86            99.25
 23     2960     1415             4375    64.54    18.54            83.08
 24     2576     1167             3743    42.99    11.55            54.54
  1     2320      895             3215    24.49    11.07            35.57
  2     2267      684             2951    18.30     9.21            27.51
  3     2272      635             2907    18.94     6.39            25.34
  4     1729      619             2348    14.78     5.69            20.48
  5     1592      638             2230    11.17     5.35            16.52
  6     1627      618             2245    12.07     5.07            17.14
  7    15142      593            15735    93.78     4.77            98.56
  8     1546      437             1983    10.67     4.89            15.57
  9     1475      231             1706    11.91     2.62            14.53
 10      699       24              723     7.36     1.21             8.57
 11      106       11              117     1.42     1.14             2.56
 12      150      105              255     1.04     1.81             2.86
 13      169      171              340     1.20     2.29             3.50
 14      245      196              441     1.98     2.31             4.28
 15      277      197              474     2.26     3.56             5.82
 16      282      201              483     2.17     3.41             5.58
 17      325      205              530     2.77     3.27             6.04
 18      338      205              543     3.92     2.54             6.46
 19      344      210              554     3.03     2.75             5.77
 20      348      216              564     3.45     3.27             6.72
 21      311      208              519     3.78     3.00             6.78
 22      260      187              447     3.38     2.28             5.66
 23      273      191              464     3.36     2.24             5.59
 24      260      199              459     2.50     1.38             3.87
  1      255      176              431     1.66     1.19             2.85
  2      262      168              430     2.86     1.48             4.33
  3      284      149              433     2.81     1.00             3.82
  4      262      137              399     1.89     0.91             2.80
  5      264      160              424     1.75     1.09             2.84
  6      269      136              405     2.61     0.95             3.56
  7      230       91              321     2.54     0.57             3.11
  8      204       80              284     2.43     1.60             4.03
  9      305       19              324     4.94     0.29             5.24
 10      278        9              287     4.84     0.07             4.91
 11       88       17              105     1.35     0.24             1.59
 12     1176      647             1823     7.26     4.20            11.46
 13     2107      935             3042    14.99     6.86            21.85
 14     2646     1057             3703    26.13    11.31            37.44
 15     4281     1217             5498    57.93    13.98            71.91
 16     5127     1894             7021    65.92    19.07            84.99
 17     5211     1993             7204    65.46    19.96            85.42
 18     5156     2018             7174    61.44    21.03            82.47
 19     4746     2043             6789    53.61    21.57            75.18
 20     5349     2067             7416    57.52    25.66            83.19
 21     5400     2078             7478    62.27    25.34            87.61
 22     5466     2060             7526    57.46    22.92            80.38
 23    22620     2031            24651   149.40    15.76           165.17
 24     4906     1761             6667    37.69    11.45            49.14
  1     4844     1047             5891    34.84     6.87            41.71
  2     4838     1043             5881    32.88     6.88            39.75
  3     4740     1037             5777    30.10     7.71            37.80
  4     3891      948             4839    25.44     6.96            32.40
  5    14815     1003            15818    92.39     7.83           100.22
  6     2434      965             3399    17.03     7.02            24.05
  7     2301      934             3235    15.16     6.35            21.50
  8     2296      985             3281    15.51     8.30            23.81
  9     2287      386             2673    17.02     3.89            20.91
 10     2240       49             2289    16.55     1.37            17.92
 11     1490      127             1617     9.87     1.83            11.70
 12     1530      642             2172     9.36     5.06            14.42
 13     1708      941             2649    10.59     6.27            16.86
 14     1776      946             2722    12.98     6.54            19.52
 15     2275      990             3265    22.42     9.05            31.47
 16     3115     1303             4418    31.59    10.64            42.23
 17     4231     2050             6281    41.94    14.28            56.21
 18     4259     2038             6297    41.11    15.08            56.19
 19     4236     2044             6280    35.94    15.81            51.75
 20     4215     2089             6304    35.61    15.74            51.35
 21     4222     2117             6339    34.80    16.83            51.63
 22     4177     2088             6265    33.43    17.04            50.48
 23     4157     2039             6196    32.03    13.84            45.86
 24     3   1658             5639    29.13    11.33            40.46
  1     3915     1501             5416    25.83    10.56            36.39
  2     3918     1496             5414    29.29    10.39            39.68
  3     3842     1456             5298    26.05     9.28            35.33
  4     3037     1404             4441    19.51     8.81            28.32
  5     2615      987             3602    17.12     6.58            23.70
  6     2607      758             3365    18.69     4.90            23.58
  7     2516      552             3068    16.90     3.56            20.46
  8     2522      599             3121    17.05     5.49            22.53
  9     1373      343             1716    12.87     2.78            15.65
 10     1282       19             1301    11.36     0.18            11.54
 11      182       19              201     1.90     0.34             2.24
 12      757      149              906     4.64     1.05             5.69
 13      874      531             1405     5.45     3.53             8.98
 14      884      532             1416     5.58     3.58             9.16
 15      907      526             1433     5.91     4.05             9.96
 16      956      528             1484     6.54     4.44            10.98
 17      990      600             1590     6.97     4.66            11.63
 18     1772      635             2407    12.48     4.60            17.08
 19     2101      666             2767    14.81     4.38            19.19
 20     2138      692             2830    14.84     4.83            19.68
 21     2121      686             2807    15.76     4.66            20.42
 22     2134      676             2810    16.70     4.59            21.29
 23     2113      668             2781    16.34     4.66            21.01
 24     2078      652             2730    15.91     4.27            20.19
  1     1043      601             1644     7.70     3.90            11.61
  2      982      579             1561     7.96     4.39            12.35
  3      988      555             1543     9.24     3.63            12.87
  4      951      541             1492     9.32     3.65            12.97
  5      956      575             1531     9.79     4.57            14.36
  6      970      432             1402     7.78     3.82            11.60
  7      903      213             1116     6.34     2.28             8.62
  8      139       92              231     2.23     2.89             5.13
  9      221       17              238     4.37     1.35             5.71
 10      204       34              238     4.55     0.27             4.82
 11       58       11               69     1.12     0.21             1.33
 12       17      459              476     1.05     3.41             4.46
 13       68      495              563     6.00     5.96            11.96
 14      382      797             1179    26.70    14.87            41.57
 15      914     1253             2167    68.63    24.32            92.95
 16     1025     1372             2397    71.58    27.24            98.82
 17      983     1434             2417    68.90    29.10            98.00
 18      860     1398             2258    48.90    18.89            67.79
 19      509     1323             1832    38.21    19.33            57.55
 20     1281     1632             2913    73.54    38.39           111.92
 21     1169     1526             2695    96.65    43.68           140.33
 22     1205     1512             2717    97.29    41.99           139.29
 23      823      948             1771    81.71    26.50           108.21
 24      544      500             1044    38.56     8.57            47.13
 
 
        NON-POS TRANSACTIONS                 POS TRANSACTIONS
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 --    -----    -----           ------    -----    -----           ------
  1      249      116              365     2570     1568             4138
  2      197       86              283     2560     1567             4127
  3      148       64              212     2481     1386             3867
  4       70       93              163     1317     1069             2386
  5      122      221              343     1137     1035             2172
  6      142       89              231     1099     1030             2129
  7       40       43               83     1091     1030             2121
  8       95      314              409     1089      645             1734
  9      202      110              312     1074      400             1474
 10      194       11              205      572      520             1092
 11       56       11               67      666      500             1166
 12       11       34               45     1203      891             2094
 13       53      191              244     1360     1493             2853
 14      727      594             1321     2020     2177             4197
 15     1147      674             1821     2121     2245             4366
 16     1231      772             2003     2134     2289             4423
 17     1167      726             1893     2141     2292             4433
 18     1110      483             1593     2141     2292             4433
 19      990      529             1519     2141     2292             4433
 20     1111      736             1847     2144     2276             4420
 21     1206      828             2034     2174     2274             4448
 22     1151      749             1900     2174     2274             4448
 23     1004      350             1354     2174     2274             4448
 24      590      156              746     2155     2248             4403
  1      268      136              404     2141     2229             4370
  2      179      112              291     2141     2238             4379
  3      124       65              189     2125     1669             3794
  4       63       72              135     1390     1114             2504
  5      128      241              369     1378     1080             2458
  6       97       61              158     1356     1079             2435
  7       27       22               49     1320     1069             2389
  8       88      288              376     1263      537             1800
  9      196       98              294      988      498             1486
 10      195        3              198      627      507             1134
 11       55        6               61     1150      500             1650
 12        6       13               19     1390      685             2075
 13       47       43               90     1427      805             2232
 14      284      179              463     1720      811             2531
 15      783      239             1022     2634     1197             3831
 16      955      218             1173     2675     1442             4117
 17      911      248             1159     2708     1453             4161
 18      819      192             1011     2743     1467             4210
 19      734      181              915     2500     1451             3951
 20      849      297             1146     1992     1455             3447
 21      851      371             1222     1992     3099             5091
 22      909      349             1258     1979     1451             3430
 23      844      197             1041     1984     1446             3430
 24      490       47              537     1585     1064             2649
  1      223       71              294     1653     1161             2814
  2      146       75              221     1693     1112             2805
  3       83       53              136     1635      658             2293
  4       57       33               90     1198      296             1494
  5       88       76              164     1134      178             1312
  6       90       46              136     1107      177             1284
  7       25       41               66     1079      178             1257
  8       83       75              158     1078      148             1226
  9      204       31              235      501       66              567
 10      194        2              196      385       83              468
 11       50        1               51      618       39              657
 12        3        5                8     1638      422             2060
 13        8       18               26     2258     1170             3428
 14       69       56              125     2358     1172             3530
 15      283       79              362     2612     1178             3790
 16      368      109              477     3596     1465             5061
 17      456      109              565     3664     2159             5823
 18      478       80              558     3732     2353             6085
 19      360       99              459     3689     2335             6024
 20      241      116              357     4328     3031             7359
 21      274      112              386     3780     3999             7779
 22      296      117              413     3780     3999             7779
 23      226      111              337     2937     2578             5515
 24      129       93              222     3038     1733             4771
  1      106       55              161     2630     1738             4368
  2       92       61              153     2374     1315             3689
  3       75       51              126     2228     1153             3381
  4       54       37               91     2149     1094             3243
  5       94      145              239     2146     1090             3236
  6      136       53              189     2040      763             2803
  7       72       41              113     2025      626             2651
  8       85       85              170     1903      267             2170
  9      204       16              220     1600        9             1609
 10      208        3              211      894        6              900
 11       56        2               58     4274       10             4284
 12        1        3                4     6259       26             6285
 13        6       10               16     4285      599             4884
 14        3       12               15     1040      631             1671
 15        9        8               17     1133      631             1764
 16       42       16               58     1191      639             1830
 17       21       19               40     1211      648             1859
 18       62       26               88     1242      837             2079
 19       79       34              113     1342      878             2220
 20      115       55              170     1430      891             2321
 21      105       71              176     1538      872             2410
 22       92       65              157     1599      892             2491
 23       61       47              108     1503      874             2377
 24       62       37               99     1392      745             2137
  1       40       50               90      763      289             1052
  2       54       51              105      471      168              639
  3       57       44              101      471      164              635
  4       32       23               55      471      140              611
  5       80       61              141      466      119              585
  6      104       29              133      423      131              554
  7       31       11               42      342       15              357
  8       79       73              152      285       23              308
  9      199       14              213      299        7              306
 10      193        3              196      142       12              154
 11       54        5               59      169       10              179
 12       21       13               34      262      126              388
 13       72       83              155      278      669              947
 14      540      388              928      322      843             1165
 15     1525      535             2060      572     1406             1978
 16     1540      616             2156     2333     1413             3746
 17     1188      398             1586     2432     1440             3872
 18     1069      339             1408     2322     1443             3765
 19     1258      842             2100     2573     1448             4021
 20     1249      820             2069     2573     1448             4021
 21     1295      651             1946     2573     1448             4021
 22     1064      461             1525     2573     1448             4021
 23     1003      287             1290     2573     7114             9687
 24      671       92              763     2526     1250             3776
  1      351      114              465     2487     1031             3518
  2      233       43              276     2487     1032             3519
  3      150       34              184     2429     1020             3449
  4       90       57              147     1661      871             2532
  5       94       90              184     1553      674             2227
  6      117       36              153     1533      673             2206
  7       30       10               40     1510      462             1972
  8       83       73              156      714      347             1061
  9      213       16              229      617        5              622
 10      195        2              197      616        8              624
 11       53        3               56      697       17              714
 12       30        8               38      817      802             1619
 13       68       62              130      883     1508             2391
 14      508      275              783     1244     1511             2755
 15     1460      391             1851     1583     1837             3420
 16     1816      539             2355     1833      972             2805
 17     1687      669             2356     2228      465             2693
 18     1540      439             1979     2140      395             2535
 19     1314      400             1714     2340      545             2885
 20     1550      566             2116     2345      546             2891
 21     1046      431             1477     2345      546             2891
 22      952      375             1327     2345      546             2891
 23      872      218             1090     2345      546             2891
 24      579       81              660     2218      546             2764
  1      251       80              331     1947      545             2492
  2      142       47              189     1947      455             2402
  3       97       39              136     1487      249             1736
  4       69       37              106     1302      213             1515
  5      148       87              235     1302      208             1510
  6      311       55              366     1302      209             1511
  7      305       48              353     1280      203             1483
  8      355      108              463     1264     6761             8025
  9      444       46              490      814       19              833
 10      407       33              440      605        9              614
 11      164        5              169      748        4              752
 12       42       15               57     1212      345             1557
 13       53       49              102     1272      578             1850
 14      294      169              463     1498      605             2103
 15      873      221             1094     1911     1096             3007
 16      976      262             1238     2000     1236             3236
 17      916      256             1172     2023     1246             3269
 18      821      178              999     2031     1254             3285
 19      671      201              872     1905     1267             3172
 20      873      364             1237     2245     1251             3496
 21      769      311             1080     2244     1251             3495
 22      811      302             1113     2241     1251             3492
 23      774      176              950     2241     1251             3492
 24      428       98              526     2185     1074             3259
  1      178       90              268     2173      816             2989
  2      111       60              171     2160      629             2789
  3      120       34              154     2155      605             2760
  4       74       31              105     1660      590             2250
  5       97       59              156     1497      582             2079
  6      134       37              171     1497      582             2079
  7       36       13               49    15109      582            15691
  8       86       75              161     1460      363             1823
  9      197       14              211     1278      218             1496
 10      199        4              203      508       21              529
 11       60        8               68       47        4               51
 12        7        8               15      143       98              241
 13        9       12               21      160      161              321
 14        3        6                9      242      191              433
 15        9        7               16      269      192              461
 16       15       13               28      267      191              458
 17       14       13               27      311      194              505
 18       31       13               44      308      193              501
 19       33       20               53      311      191              502
 20       39       23               62      310      194              504
 21       23       28               51      291      182              473
 22       22       14               36      239      174              413
 23       22       14               36      252      178              430
 24       17       23               40      246      177              423
  1        7       22               29      248      154              402
  2       15       17               32      248      151              399
  3       30       15               45      256      135              391
  4       19        8               27      245      129              374
  5       18       17               35      246      144              390
  6       22        9               31      247      127              374
  7       18        2               20      214       89              303
  8       81       70              151      123       10              133
  9      206       12              218       99        8              107
 10      210        1              211       75        8               83
 11       51        3               54       38       14               52
 12        3        4                7     1173      643             1816
 13       22       20               42     2085      915             3000
 14      172      123              295     2479      937             3416
 15      515      158              673     3782     1065             4847
 16      698      168              866     4478     1733             6211
 17      677      238              915     4577     1768             6345
 18      566      223              789     4625     1804             6429
 19      510      250              760     4269     1804             6073
 20      618      307              925     4764     1771             6535
 21      654      312              966     4781     1781             6562
 22      630      290              920     4860     1781             6641
 23      530      259              789    22108     1781            23889
 24      188       58              246     4725     1706             6431
  1      126       68              194     4725      980             5705
  2      116       64              180     4725      981             5706
  3       75       58              133     4666      981             5647
  4       62       29               91     3830      920             4750
  5       72       85              157    14747      920            15667
  6      134       44              178     2302      922             3224
  7       55       18               73     2247      917             3164
  8       92       76              168     2204      910             3114
  9      200       19              219     2087      369             2456
 10      191        3              194     2056       47             2103
 11       52        2               54     1439      126             1565
 12        0        6                6     1530      637             2167
 13        6       13               19     1702      928             2630
 14       38       20               58     1739      927             2666
 15      170       42              212     2112      948             3060
 16      276       67              343     2853     1239             4092
 17      316       94              410     3932     1959             5891
 18      325       86              411     3952     1952             5904
 19      287      100              387     3962     1952             5914
 20      275      140              415     3962     1952             5914
 21      268      169              437     3962     1952             5914
 22      225      139              364     3962     1952             5914
 23      205       90              295     3962     1952             5914
 24      144       63              207     3846     1596             5442
  1       88       45              133     3829     1457             5286
  2       92       41              133     3829     1456             5285
  3       87       25              112     3760     1431             5191
  4       68       38              106     2969     1366             4335
  5       89       58              147     2530      930             3460
  6      158       32              190     2450      726             3176
  7       64       18               82     2452      534             2986
  8       86       74              160     2436      526             2962
  9      211       12              223     1164      332             1496
 10      192        2              194     1098       17             1115
 11       53        4               57      132       15              147
 12        1        5                6      756      144              900
 13        1       13               14      873      518             1391
 14       10       16               26      874      518             1392
 15       10        8               18      898      518             1416
 16        7        8               15      950      521             1471
 17       39       19               58      951      582             1533
 18       64       17               81     1709      619             2328
 19       82       39              121     2019      627             2646
 20      119       62              181     2019      630             2649
 21      103       59              162     2020      628             2648
 22      117       49              166     2022      629             2651
 23       97       42              139     2019      627             2646
 24       84       42              126     2001      611             2612
  1       57       31               88      988      570             1558
  2       36       47               83      950      532             1482
  3       37       27               64      953      528             1481
  4       51       20               71      905      521             1426
  5       78       57              135      884      518             1402
  6       85       30              115      892      403             1295
  7       25       10               35      879      205             1084
  8       83       79              162       56       14               70
  9      197       15              212       25        4               29
 10      194        2              196       16       32               48
 11       54        4               58        6        7               13
 12       13       11               24        4      449              453
 13       70       48              118        2      448              450
 14      387      171              558        3      631              634
 15      962      252             1214        4     1020             1024
 16     1090      306             1396       10     1085             1095
 17     1044      367             1411       15     1091             1106
 18      888      318             1206        9     1088             1097
 19      533      256              789       17     1079             1096
 20     1323      578             1901       17     1078             1095
 21     1246      491             1737       12     1069             1081
 22     1302      464             1766        0     1078             1078
 23      915      323             1238        6      659              665
 24      600      124              724        6      397              403
 
 
T = TOTAL CONNECT HOURS
M = PEAK CONNECT HOURS
P = PEAK % TOTAL CONNECT HOURS
H = PEAK HOUR
 
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
DAY    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
---    -----    -----           ------    -----    -----           ------
 1T    53941    45574            99515  1119.49   748.39          1867.88
  M     3300     3049             6349   100.36    68.18           164.07
  P      6.1      6.7              6.4      9.0      9.1              8.8
  H       21       21               21       16       21               16
 2T    52457    33796            86253   908.21   409.01          1317.21
  M     3569     3450             6225    81.27    43.39           118.59
  P      6.8     10.2              7.2      8.9     10.6              9.0
  H       16       21               21       16       21               21
 3T    57725    33233            90958   526.64   253.80           780.44
  M     4554     4105             8164    49.38    31.48            69.80
  P      7.9     12.4              9.0      9.4     12.4              8.9
  H       20       21               22       18       22               22
 4T    51205    18151            69356   366.23   139.82           506.04
  M     6260     1791             6289    38.26    13.50            38.55
  P     12.2      9.9              9.1     10.4      9.7              7.6
  H       12        1               12       12        1               12
 5T    41007    28155            69162   875.21   447.80          1323.01
  M     3858     7367            10889    93.66    63.41           148.48
  P      9.4     26.2             15.7     10.7     14.2             11.2
  H       16       23               23       21       23               20
 6T    55386    21638            77024   889.24   307.82          1197.06
  M     3849     2210             5216    81.00    31.39           112.38
  P      6.9     10.2              6.8      9.1     10.2              9.4
  H       20       15               15       21       21               21
 7T    49394    25571            74965   874.44   322.30          1196.74
  M     3072     6869             8487    84.36    43.40           111.73
  P      6.2     26.9             11.3      9.6     13.5              9.3
  H       20        8                8       16        8               16
 8T    34357     7876            42233   259.75    91.51           351.26
  M    15142      895            15735    93.78    11.07            98.56
  P     44.1     11.4             37.3     36.1     12.1             28.1
  H        7        1                7        7        1                7
 9T    76892    22943            99835   746.77   228.50           975.27
  M    22620     2078            24651   149.40    25.66           165.17
  P     29.4      9.1             24.7     20.0     11.2             16.9
  H       23       21               23       23       20               23
10T    90058    29469           119527   677.71   222.50           900.21
  M    14815     2117            15818    92.39    17.04           100.22
  P     16.5      7.2             13.2     13.6      7.7             11.1
  H        5       21                5        5       22                5
11T    47634    16675            64309   338.51   116.16           454.68
  M     3918     1501             5416    29.29    10.56            39.68
  P      8.2      9.0              8.4      8.7      9.1              8.7
  H        2        1                1        2        1                2
12T    17195    18299            35494   788.13   333.20          1121.33
  M     1281     1632             2913    97.29    43.68           140.33
  P      7.4      8.9              8.2     12.3     13.1             12.5
  H       20       20               20       22       21               21
 
 
        NON-POS TRANSACTIONS                 POS TRANSACTIONS
       -------------------------------    -------------------------------
DAY    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
---    -----    -----           ------    -----    -----           ------
 1T    13013     7980            20993    41738    38067            79805
  M     1231      828             2034     2570     2292             4448
  P      9.5     10.4              9.7      6.2      6.0              5.6
  H       16       21               21        1       17               21
 2T     9902     3678            13580    43208    30346            73554
  M      955      371             1258     2743     3099             5091
  P      9.6     10.1              9.3      6.3     10.2              6.9
  H       16       21               22       18       21               21
 3T     4434     1608             6042    53491    31690            85181
  M      478      117              565     4328     3999             7779
  P     10.8      7.3              9.4      8.1     12.6              9.1
  H       18       22               17       20       21               21
 4T     1840      952             2792    49428    17234            66662
  M      208      145              239     6259     1738             6285
  P     11.3     15.2              8.6     12.7     10.1              9.4
  H       10        5                5       12        1               12
 5T    13418     5889            19307    28214    22574            50788
  M     1540      842             2156     2573     7114             9687
  P     11.5     14.3             11.2      9.1     31.5             19.1
  H       16       19               16       19       23               23
 6T    15031     4932            19963    40970    16905            57875
  M     1816      669             2356     2487     1837             3519
  P     12.1     13.6             11.8      6.1     10.9              6.1
  H       16       17               17        1       15                2
 7T    10994     3187            14181    39006    22580            61586
  M      976      364             1238     2245     6761             8025
  P      8.9     11.4              8.7      5.8     29.9             13.0
  H       16       20               16       20        8                8
 8T     1536      619             2155    32893     7308            40201
  M      199       90              268    15109      816            15691
  P     13.0     14.5             12.4     45.9     11.2             39.0
  H       10        1                1        7        1                7
