rotary~ 22/782-9329        ~0000002040~1 ~016~L~                    ~Y~N~Y~A ~002435~01/01/92~ ~00
rotary~203/456-3282        ~0000002315~1 ~000~L~WILLIMANTIC         ~Y~N~ ~A ~000004~01/01/92~ ~00
rotary~203/482-3282        ~0000002315~1 ~000~L~TORRINGTON          ~Y~N~ ~A ~000004~01/01/92~ ~00
rotary~203/579-1479        ~0000007220~1 ~018~M~BRIDGEPORT          ~Y~N~N~A ~000000~02/01/86~1~01
rotary~203/589-8200        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/623-0361        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/631-3282        ~0000002315~1 ~000~L~MERIDEN             ~Y~N~ ~A ~000004~01/01/92~ ~00
rotary~203/637-5552        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/669-3282        ~0000002315~1 ~000~L~MADISON             ~Y~N~ ~A ~000004~01/01/92~ ~00
rotary~203/686-1238        ~0000012600~1 ~015~L~MERIDEN 2400        ~Y~Y~Y~A ~060587~01/01/92~1~01
rotary~203/688-8181        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/724-3282        ~0000002315~1 ~000~L~NEW BRITAIN         ~Y~N~ ~A ~000004~01/01/92~ ~00
rotary~203/755-0255        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/755-5994        ~0000003356~1 ~016~L~WATERBURY 2400      ~Y~Y~Y~A ~005600~07/12/83~1~01
rotary~203/763-3521        ~0000010172~1 ~016~L~SOMERS 2400         ~Y~Y~Y~A ~017130~04/08/86~1~01
rotary~203/774-0141        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/777-3282        ~0000002315~1 ~000~L~NEW HAVEN           ~Y~N~ ~A ~000004~01/01/92~ ~00
rotary~203/789-1848        ~0000012044~1 ~006~H~NEW HAVEN TYMDI     ~1~N~Y~A ~057517~09/10/91~3~01
rotary~203/790-7576        ~0000004044~1 ~001~ ~QUOTRON             ~N~N~Y~A ~074051~01/01/92~1~01
rotary~203/797-9539        ~0000004044~1 ~025~L~DANBURY 2400        ~Y~Y~Y~UG~107385~10/08/92~1~01
rotary~203/798-8282        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/824-0775        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/865-5770        ~0000005123~1 ~044~M~NEW HAVEN 2400      ~Y~Y~Y~A ~057517~01/01/92~1~01
rotary~203/888-3211        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/965-0000        ~0000002653~1 ~037~H~STAMFORD            ~Y~N~N~A ~040683~06/27/84~1~01
rotary~204/654-4041        ~0000010726~1 ~008~L~WINNIPEG 2400       ~Y~N~Y~A ~066265~01/01/92~1~01
rotary~205/231-2800        ~0000011277~  ~001~ ~                    ~N~ ~ ~C ~105264~09/08/92~1~01
rotary~205/236-3342        ~0000012204~1 ~016~L~ANNISTON 2400       ~Y~Y~Y~A ~108521~10/08/92~1~01
rotary~205/236-3342        ~0000003324~1 ~016~L~ANNISTON 2400       ~Y~Y~Y~A ~108521~10/08/92~1~01
rotary~205/272-3411        ~0000012236~1 ~058~L~MONTGOMERY 2400     ~Y~Y~Y~UG~104783~08/17/92~1~01
rotary~205/343-8414        ~0000003546~1 ~021~M~MOBILE              ~Y~N~N~A ~000000~09/20/84~1~01
rotary~205/343-9215        ~0000003054~1 ~010~H~MOBILE TYMDIAL      ~1~N~Y~A ~075447~01/01/92~3~01
rotary~205/460-2515        ~0000013620~1 ~098~M~MOBILE 2400         ~Y~Y~Y~A ~075447~01/01/92~1~01
rotary~205/460-2515        ~0000011241~1 ~098~M~MOBILE 2400         ~Y~Y~Y~A ~075447~01/01/92~1~01
rotary~205/460-2515        ~0000011120~1 ~098~M~MOBILE 2400         ~Y~Y~Y~A ~075447~01/01/92~1~01
rotary~205/543-3550        ~0000010305~1 ~016~L~GADSDEN 2400        ~Y~Y~Y~A ~069242~04/30/86~1~01
rotary~205/742-9040        ~0000005431~1 ~024~L~OPELIKA 2400        ~Y~Y~Y~A ~043095~01/01/92~1~01
rotary~205/758-1116        ~0000011321~1 ~032~L~NORTHPORT 2400      ~Y~Y~Y~A ~047039~01/01/92~1~01
rotary~205/760-0030        ~0000007706~1 ~016~L~FLORENCE 2400       ~Y~Y~Y~A ~108713~10/14/92~1~01
rotary~205/760-0030        ~0000005221~1 ~016~L~FLORENCE 2400       ~Y~Y~Y~A ~108713~10/14/92~1~01
rotary~205/794-7954        ~0000007723~1 ~025~L~DOTHAN 2400         ~Y~Y~Y~A ~108603~10/12/92~1~01
rotary~205/881-2888        ~0000013655~1 ~001~ ~QUOTRON             ~N~N~Y~C ~104820~08/27/92~1~01
rotary~205/882-1519        ~0000013655~1 ~093~M~HUNTSVILLE 2400     ~Y~Y~Y~UG~106685~09/09/92~1~01
rotary~205/882-1519        ~0000005177~1 ~093~M~HUNTSVILLE 2400     ~Y~Y~Y~UG~106685~09/09/92~1~01
rotary~205/882-9199        ~0000011727~1 ~010~H~HUNTSVILLE TYMD     ~Y~N~Y~UG~106685~09/17/92~3~01
rotary~205/942-0297        ~0000003453~1 ~016~H~BIRMINGHAM TYMD     ~Y~N~Y~UG~108838~10/20/92~3~01
rotary~205/942-4141        ~0000002246~1 ~034~H~BIRMINGHAM          ~Y~N~N~A ~000000~04/20/82~1~01
rotary~205/942-7898        ~0000013602~1 ~110~H~BIRMINGHAM 2400     ~Y~Y~Y~A ~065471~10/14/85~1~01
rotary~205/942-7898        ~0000013601~1 ~110~H~BIRMINGHAM 2400     ~Y~Y~Y~A ~065471~10/14/85~1~01
rotary~205/942-7898        ~0000012720~1 ~110~H~BIRMINGHAM 2400     ~Y~Y~Y~A ~065471~10/14/85~1~01
rotary~206/258-1018        ~0000006564~1 ~019~L~EVERETT 2400        ~Y~Y~Y~A ~000000~09/01/85~1~01
rotary~206/272-6762        ~0000004020~1 ~001~ ~MCI TELCOM          ~N~N~N~A ~063773~01/01/92~1~01
rotary~206/281-7141        ~0000011447~1 ~106~H~SEATTLE 2400        ~Y~Y~Y~A ~063776~04/19/84~1~01
rotary~206/281-7141        ~0000002331~1 ~106~H~SEATTLE 2400        ~Y~Y~Y~A ~063776~04/19/84~1~01
rotary~206/281-7141        ~0000002235~1 ~106~H~SEATTLE 2400        ~Y~Y~Y~A ~063776~04/19/84~1~01
rotary~206/281-7834        ~0000002331~1 ~001~ ~QUOTRON             ~N~N~Y~A ~066880~01/01/92~1~01
rotary~206/282-3495        ~0000002503~1 ~001~H~MDC-PSC             ~N~N~ ~A ~071967~01/01/92~1~01
rotary~206/283-1590        ~0000002331~1 ~001~ ~COVIA               ~N~N~Y~A ~063776~01/01/92~1~01
rotary~206/283-3677        ~0000004453~1 ~016~H~SEATTLE TYMDIAL     ~1~N~Y~A ~044257~09/23/88~3~01
rotary~206/285-0109        ~0000002503~1 ~055~H~SEATTLE             ~Y~N~N~A ~000000~12/07/84~1~01
rotary~206/285-1018        ~0000002503~1 ~001~ ~WACHOVIA BANK       ~N~N~ ~A ~071967~01/01/92~1~01
rotary~206/285-5247        ~0000004005~1 ~002~H~SEATTLE TYMX25      ~1~N~Y~A ~052286~12/08/89~4~01
rotary~206/357-0261        ~0000005161~1 ~017~L~OLYMPIA 2400        ~Y~Y~Y~A ~061683~01/01/92~1~01
rotary~206/377-2792        ~0000005550~1 ~033~L~BREMERTON 2400      ~Y~Y~Y~A ~042321~01/01/92~1~01
rotary~206/423-9072        ~0000005514~1 ~026~L~LONGVIEW 2400       ~Y~Y~Y~UG~108637~10/13/92~1~01
rotary~206/452-6800        ~0000003774~1 ~032~L~PT ANGELES 2400     ~Y~Y~Y~A ~044018~07/26/88~1~01
rotary~206/572-2026        ~0000004020~1 ~030~L~TACOMA 2400         ~Y~Y~Y~A ~047609~01/01/92~1~01
rotary~206/574-0427        ~0000011252~1 ~092~L~VANCOUVER 2400      ~Y~Y~Y~UG~107040~09/21/92~1~01
rotary~206/574-0427        ~0000002233~1 ~092~L~VANCOUVER 2400      ~Y~Y~Y~UG~107040~09/21/92~1~01
rotary~206/671-7750        ~0000013344~1 ~032~L~BELLINGHAM 2400     ~Y~Y~Y~A ~066249~01/01/92~1~01
rotary~206/735-3975        ~0000007631~1 ~016~L~AUBURN 2400         ~Y~Y~Y~A ~063779~01/01/92~1~01
rotary~206/792-0891        ~0000005550~1 ~001~ ~QUOTRON             ~N~N~Y~A ~066882~01/01/92~1~01
rotary~206/956-3500        ~0000007334~1 ~017~M~DEPT OF INFO        ~Y~N~Y~A ~069055~01/01/92~1~01
rotary~207/622-3083        ~0000010601~1 ~016~L~AUGUSTA 2400        ~Y~Y~Y~C ~105622~09/03/92~1~01
rotary~207/764-4167        ~0000012031~1 ~009~L~PRESQUEISLE2400     ~Y~Y~Y~A ~058789~07/17/90~1~01
rotary~207/775-5971        ~0000004220~1 ~042~L~PORTLAND 2400       ~Y~Y~Y~A ~005869~01/17/84~1~01
rotary~207/795-6013        ~0000011067~1 ~032~L~AUBURN 2400         ~Y~Y~Y~A ~108603~10/12/92~1~01
rotary~207/879-0244        ~0000004220~1 ~001~ ~QUOTRON             ~N~N~Y~A ~073666~01/01/92~1~01
rotary~207/990-0529        ~0000011003~1 ~032~L~BANGOR 2400         ~Y~Y~Y~A ~051886~01/01/92~1~01
rotary~208/233-2501        ~0000003521~1 ~017~L~POCATELLO 2400      ~Y~Y~Y~A ~000000~08/30/83~1~01
rotary~208/342-8358        ~0000011174~1 ~002~ ~QUOTRON             ~N~N~Y~A ~070910~01/01/92~1~01
rotary~208/343-0404        ~0000002565~1 ~026~M~BOISE               ~Y~N~N~A ~000000~08/16/82~1~01
rotary~208/345-5951        ~0000011174~1 ~086~M~BOISE 2400          ~Y~Y~Y~UG~107053~09/21/92~1~01
rotary~208/345-5951        ~0000004253~1 ~086~M~BOISE 2400          ~Y~Y~Y~UG~107053~09/21/92~1~01
rotary~208/389-7831        ~0000011174~1 ~001~M~QUOTRON             ~Y~N~Y~A ~070910~01/01/92~1~01
rotary~208/522-3624        ~0000003630~1 ~034~L~IDAHO FALLS2400     ~Y~Y~Y~UG~108657~10/14/92~1~01
rotary~208/734-0221        ~0000005151~1 ~018~L~TWIN FALLS 2400     ~Y~Y~Y~A ~042322~01/01/92~1~01
rotary~208/765-1465        ~0000005504~1 ~032~L~COEUR D'AL 2400     ~Y~Y~Y~A ~050078~01/01/92~1~01
rotary~209-442-3475        ~0000010072~  ~008~L~FRESNO              ~Y~N~Y~P ~106848~09/14/92~3~01
rotary~209/383-7593        ~0000005550~1 ~032~L~MERCED 2400         ~Y~Y~Y~A ~068744~06/30/86~1~01
rotary~209/383-7593        ~0000004376~1 ~032~L~MERCED 2400         ~Y~Y~Y~A ~068744~06/30/86~1~01
rotary~209/442-4328        ~0000013576~1 ~077~L~FRESNO 2400         ~Y~Y~Y~UG~106848~09/14/92~1~01
rotary~209/442-4328        ~0000004107~1 ~077~L~FRESNO 2400         ~Y~Y~Y~UG~106848~09/14/92~1~01
rotary~209/467-0601        ~0000003522~1 ~022~L~STOCKTON 2400       ~Y~Y~Y~A ~000000~09/01/85~1~01
rotary~209/527-0150        ~0000011402~1 ~024~L~MODESTO 2400        ~Y~Y~Y~A ~044666~10/04/85~1~01
rotary~209/625-4891        ~0000006147~1 ~057~L~VISALIA 2400        ~Y~Y~Y~UG~104383~08/05/92~1~01
rotary~212/269-4530        ~0000003347~1 ~004~ ~CARL ZEISS          ~N~Y~ ~A ~036449~01/01/92~1~01
rotary~212/269-4640        ~0000010070~1 ~064~H~NEW YORK TYMDIA     ~1~N~Y~A ~066610~10/08/91~3~01
rotary~212/514-5910        ~0000013236~1 ~001~ ~QUOTRON             ~N~Y~ ~A ~067849~01/01/92~1~01
rotary~212/797-2790        ~0000007057~1 ~000~H~NEW YORK TYMX25     ~1~N~Y~C ~070583~11/22/91~4~01
rotary~212/797-9729        ~0000013236~1 ~001~ ~MCI                 ~N~N~N~A ~063806~01/01/92~1~01
rotary~212/809-9660        ~0000013236~1 ~183~H~NEW YORK 2400       ~Y~Y~Y~A ~063806~01/01/92~1~01
rotary~212/809-9660        ~0000013235~1 ~183~H~NEW YORK 2400       ~Y~Y~Y~A ~063806~01/01/92~1~01
rotary~212/809-9660        ~0000013234~1 ~183~H~NEW YORK 2400       ~Y~Y~Y~A ~063806~01/01/92~1~01
rotary~212/809-9660        ~0000013233~1 ~183~H~NEW YORK 2400       ~Y~Y~Y~A ~063806~01/01/92~1~01
rotary~212/943-4700        ~0000010710~1 ~185~H~NEW YORK            ~Y~N~N~A ~070142~01/01/92~1~01
rotary~212/943-4700        ~0000004515~1 ~185~H~NEW YORK            ~Y~N~N~A ~070142~01/01/92~1~01
rotary~213/583-5360        ~0000005242~1 ~001~M~AMERICAN AIRLIN     ~N~N~N~A ~012453~04/29/85~1~01
rotary~213/583-5360        ~0000005241~1 ~001~M~AMERICAN AIRLIN     ~N~N~N~A ~012453~04/29/85~1~01
rotary~213/587-0030        ~0000005242~1 ~128~H~VERNON              ~Y~N~N~A ~108600~10/13/92~1~01
rotary~213/587-0030        ~0000005241~1 ~128~H~VERNON              ~Y~N~N~A ~108600~10/13/92~1~01
rotary~213/587-7514        ~0000010430~1 ~078~H~VERNON 2400         ~Y~Y~Y~A ~065483~10/17/85~1~01
rotary~213/587-7514        ~0000010325~1 ~078~H~VERNON 2400         ~Y~Y~Y~A ~065483~10/17/85~1~01
rotary~213/587-7514        ~0000010250~1 ~078~H~VERNON 2400         ~Y~Y~Y~A ~065483~10/17/85~1~01
rotary~213/587-7514        ~0000007703~1 ~078~H~VERNON 2400         ~Y~Y~Y~A ~065483~10/17/85~1~01
rotary~213/588-4639        ~0000006733~1 ~008~H~VERNON TYMX25       ~Y~N~Y~UG~108592~10/16/92~4~01
rotary~213/588-4712        ~0000006733~1 ~002~H~VERNON TYMX25       ~1~N~Y~A ~047012~01/01/92~4~01
rotary~213/588-8128        ~0000007533~1 ~030~H~VERNON TYMDIAL      ~Y~N~Y~UG~108592~10/12/92~3~01
rotary~213/589-3850        ~0000005245~1 ~001~M~AIR/GROUND EQUI     ~N~N~N~A ~052958~01/01/92~1~01
rotary~214/542-2641        ~0000010542~1 ~032~L~McKINNEY 2400       ~Y~Y~Y~UG~105103~08/24/92~1~01
rotary~214/630-5516        ~0000013120~1 ~133~H~DALLAS 2400         ~Y~Y~Y~A ~065095~02/18/86~1~01
rotary~214/630-5516        ~0000007450~1 ~133~H~DALLAS 2400         ~Y~Y~Y~A ~065095~02/18/86~1~01
rotary~214/630-5516        ~0000004343~1 ~133~H~DALLAS 2400         ~Y~Y~Y~A ~065095~02/18/86~1~01
rotary~214/630-5516        ~0000002156~1 ~133~H~DALLAS 2400         ~Y~Y~Y~A ~065095~02/18/86~1~01
rotary~214/634-0831        ~0000005402~1 ~003~H~DALLAS TYMX25       ~1~N~Y~U ~070435~02/25/87~4~01
rotary~214/637-3012        ~0000013120~1 ~026~H~DALLAS TYMDIAL      ~Y~N~Y~UG~108595~10/13/92~3~01
rotary~214/637-3012        ~0000007450~1 ~026~H~DALLAS TYMDIAL      ~Y~N~Y~UG~108595~10/13/92~3~01
rotary~214/638-8888        ~0000003001~1 ~082~H~DALLAS              ~Y~N~N~A ~000000~04/30/84~1~01
rotary~214/638-8888        ~0000002453~1 ~082~H~DALLAS              ~Y~N~N~A ~000000~04/30/84~1~01
rotary~214/688-1405        ~0000002156~1 ~001~ ~REALITY COMP        ~N~N~N~A ~065059~01/01/92~1~01
rotary~215/328-9002        ~0000005362~1 ~032~L~SPRINGFIELD2400     ~Y~Y~Y~A ~072546~01/01/92~1~01
rotary~215/383-0440        ~0000006755~1 ~032~L~COATESVILLE2400     ~Y~Y~Y~A ~061962~02/27/85~1~01
rotary~215/543-3045        ~0000010615~1 ~016~L~SECANE 2400         ~Y~Y~Y~A ~063211~11/25/86~1~01
rotary~215/592-1588        ~0000013617~1 ~001~ ~QUOTRON             ~N~N~Y~M ~107341~10/14/92~1~01
rotary~215/592-8309        ~0000004540~1 ~080~H~PHILADELPHIA        ~Y~N~N~A ~037572~01/01/92~1~01
rotary~215/592-8309        ~0000004223~1 ~080~H~PHILADELPHIA        ~Y~N~N~A ~037572~01/01/92~1~01
rotary~215/592-8309        ~0000003457~1 ~080~H~PHILADELPHIA        ~Y~N~N~A ~037572~01/01/92~1~01
rotary~215/592-8309        ~0000003263~1 ~080~H~PHILADELPHIA        ~Y~N~N~A ~037572~01/01/92~1~01
rotary~215/592-8750        ~0000013617~1 ~087~H~PHILADELPHA2400     ~Y~Y~Y~M ~107341~10/14/92~1~01
rotary~215/592-8750        ~0000005531~1 ~087~H~PHILADELPHA2400     ~Y~Y~Y~M ~107341~10/14/92~1~01
rotary~215/592-8750        ~0000005277~1 ~087~H~PHILADELPHA2400     ~Y~Y~Y~M ~107341~10/14/92~1~01
rotary~215/629-0555        ~0000003457~1 ~002~H~PHILADELPHIA TY     ~1~N~Y~A ~052150~12/01/89~4~01
rotary~215/629-0559        ~0000003457~1 ~002~H~PHILADELPHIA TY     ~1~N~Y~A ~052150~12/01/89~4~01
rotary~215/629-0567        ~0000003707~1 ~025~H~PHILADELPHIA TY     ~1~N~Y~A ~108566~10/12/92~3~01
rotary~215/666-0750        ~0000006701~1 ~001~M~DECHERT,PRICE       ~Y~Y~N~A ~046989~01/01/92~1~01
rotary~215/666-1954        ~0000013245~1 ~001~ ~QUOTRON             ~N~N~Y~A ~072824~01/01/92~1~01
rotary~215/666-1984        ~0000002145~1 ~014~H~NORRISTOWN TYMD     ~Y~N~Y~UG~108709~10/14/92~3~01
rotary~215/666-5913        ~0000013245~1 ~001~ ~QUOTRON             ~N~N~Y~A ~068656~01/01/92~1~01
rotary~215/666-6869        ~0000002346~1 ~001~ ~MDC-PSC             ~N~N~N~A ~105476~08/30/92~1~01
rotary~215/666-6869        ~0000005701~1 ~001~ ~MDC-PSC             ~N~N~N~A ~105476~08/30/92~1~01
rotary~215/666-9190        ~0000013245~1 ~042~M~NORRISTOWN 2400     ~Y~Y~Y~A ~065097~08/16/82~1~01
rotary~215/796-0767        ~0000006667~1 ~001~ ~QUOTRON             ~N~N~N~A ~071830~01/01/92~1~01
rotary~215/796-9000        ~0000006667~1 ~041~L~READING 2400        ~Y~Y~Y~A ~065474~01/01/92~1~01
rotary~215/865-6978        ~0000003662~1 ~029~M~BETHLEHEM 2400      ~Y~Y~Y~A ~006409~10/28/83~1~01
rotary~215/866-5518        ~0000003662~1 ~001~ ~QUOTRON             ~N~N~Y~A ~066392~01/01/92~1~01
rotary~215/943-3700        ~0000007331~1 ~016~L~LEVITTOWN 2400      ~Y~Y~Y~A ~000000~01/01/86~1~01
rotary~216/241-0024        ~0000004530~1 ~054~H~CLEVELAND           ~Y~N~N~A ~000000~11/29/84~1~01
rotary~216/241-3484        ~0000004530~1 ~001~M~AMHURST             ~N~N~N~A ~007774~12/01/84~1~01
rotary~216/241-5647        ~0000010235~1 ~001~ ~QUOTRON             ~N~N~Y~A ~066475~01/01/92~1~01
rotary~216/253-6817        ~0000013623~1 ~001~ ~QUOTRON             ~N~N~Y~A ~069690~01/01/92~1~01
rotary~216/324-7156        ~0000010603~1 ~032~L~E. ELYRIA 2400      ~Y~Y~Y~A ~031930~11/12/86~1~01
rotary~216/376-6227        ~0000010543~1 ~023~M~AKRON               ~Y~N~N~A ~040337~07/30/86~1~01
rotary~216/376-8330        ~0000013623~1 ~093~H~AKRON 2400          ~Y~Y~Y~UG~107348~09/30/92~1~01
rotary~216/376-8330        ~0000006614~1 ~093~H~AKRON 2400          ~Y~Y~Y~UG~107348~09/30/92~1~01
rotary~216/392-2555        ~0000007414~1 ~050~L~WARREN 2400         ~Y~Y~Y~UG~107105~09/22/92~1~01
rotary~216/434-0105        ~0000013623~1 ~001~ ~QUOTRON             ~N~N~N~C ~104236~08/06/92~1~01
rotary~216/452-8016        ~0000012457~1 ~001~ ~QUOTRON             ~N~N~Y~A ~075127~01/01/92~1~01
rotary~216/456-0840        ~0000012457~1 ~082~L~CANTON 2400         ~Y~Y~Y~UG~107055~09/21/92~1~01
rotary~216/456-0840        ~0000003114~1 ~082~L~CANTON 2400         ~Y~Y~Y~UG~107055~09/21/92~1~01
rotary~216/579-7146        ~0000004530~1 ~001~H~MCDERMOTT           ~N~N~ ~A ~031141~10/22/86~1~01
rotary~216/621-5491        ~0000010235~1 ~001~ ~QUOTRON             ~N~N~Y~A ~066393~01/01/92~1~01
rotary~216/696-0363        ~0000010234~1 ~002~H~CLEVELAND TYMX2     ~1~N~Y~A ~052369~01/31/90~4~01
rotary~216/696-0545        ~0000004063~1 ~010~H~CLEVELAND TYMDI     ~1~N~Y~M ~108636~10/13/92~3~01
rotary~216/759-8892        ~0000004222~1 ~032~L~YOUNGSTOWN2400      ~Y~Y~Y~A ~013894~11/01/85~1~01
rotary~216/762-4275        ~0000013623~1 ~001~ ~QUOTRON             ~N~N~Y~A ~075127~01/01/92~1~01
rotary~216/861-6709        ~0000010233~1 ~050~H~CLEVELAND 2400      ~Y~Y~Y~A ~038469~06/20/84~1~01
rotary~216/861-6709        ~0000004671~1 ~050~H~CLEVELAND 2400      ~Y~Y~Y~A ~038469~06/20/84~1~01
rotary~217/223-9531        ~0000005250~1 ~007~L~QUINCY 2400         ~Y~Y~Y~A ~065293~01/01/92~1~01
rotary~217/344-3400        ~0000002367~1 ~056~L~URBANA 2400         ~Y~Y~Y~UG~107284~09/28/92~1~01
rotary~217/425-8864        ~0000004305~1 ~030~L~DECATUR 2400        ~Y~Y~Y~UG~108469~10/08/92~1~01
rotary~217/429-3245        ~0000004305~1 ~001~ ~QUOTRON             ~N~N~Y~M ~108469~10/08/92~1~01
rotary~217/442-1452        ~0000007303~1 ~021~L~DANVILLE 2400       ~Y~Y~Y~UG~106744~09/10/92~1~01
rotary~217/525-8025        ~0000004311~1 ~020~M~SPRINGFIELD         ~Y~N~N~A ~011542~07/01/85~1~01
rotary~217/544-0312        ~0000004475~1 ~053~M~SPRINGFIELD2400     ~Y~Y~Y~UG~107434~10/02/92~1~01
rotary~218/262-3824        ~0000005215~1 ~008~L~HIBBING 2400        ~Y~Y~Y~A ~062542~01/01/92~1~01
rotary~218/722-0655        ~0000011741~1 ~036~L~DULUTH 2400         ~Y~Y~Y~UG~108378~10/05/92~1~01
rotary~219/234-5005        ~0000003106~1 ~019~M~SOUTH BEND          ~Y~N~N~A ~008681~08/04/83~1~01
rotary~219/234-6410        ~0000011274~1 ~066~M~SOUTH BEND 2400     ~Y~Y~Y~UG~107293~09/28/92~1~01
rotary~219/234-6410        ~0000005520~1 ~066~M~SOUTH BEND 2400     ~Y~Y~Y~UG~107293~09/28/92~1~01
rotary~219/293-8860        ~0000004161~1 ~032~L~ELKHART 2400        ~Y~Y~Y~UG~105240~08/27/92~1~01
rotary~219/422-2581        ~0000013653~1 ~074~L~FORT WAYNE 2400     ~Y~Y~Y~UG~107272~09/26/92~1~01
rotary~219/422-2581        ~0000003653~1 ~074~L~FORT WAYNE 2400     ~Y~Y~Y~UG~107272~09/26/92~1~01
rotary~219/424-4933        ~0000003653~1 ~001~ ~BOURNES             ~N~N~N~A ~062583~01/01/92~1~01
rotary~219/884-7450        ~0000012151~1 ~105~L~GARY 2400           ~Y~Y~Y~UG~106909~09/15/92~1~01
rotary~219/884-7450        ~0000012150~1 ~105~L~GARY 2400           ~Y~Y~Y~UG~106909~09/15/92~1~01
rotary~219/887-0969        ~0000012151~1 ~001~ ~QUOTRON             ~N~N~Y~A ~070911~01/01/92~1~01
rotary~223/845-8600        ~0000004267~1 ~005~M~CAMBRIDGE ROT       ~Y~N~Y~A ~067298~01/01/92~ ~00
rotary~301/217-0573        ~0000010402~1 ~001~ ~QUOTRON             ~N~N~Y~A ~066878~01/01/92~1~01
rotary~301/293-4107        ~0000013314~1 ~001~ ~STATIONERS          ~N~N~Y~A ~066121~01/01/92~1~01
rotary~301/293-4113        ~0000013314~1 ~001~ ~STATIONERS          ~N~N~Y~A ~066121~07/06/90~1~01
rotary~301/293-8902        ~0000013314~  ~001~M~STATIONERS          ~N~N~N~A ~066121~01/31/90~1~01
rotary~301/293-8911        ~0000013314~  ~001~M~STATIONERS          ~N~N~N~A ~066121~01/01/92~1~01
rotary~301/293-8998        ~0000013314~1 ~001~M~STATIONERS          ~N~N~N~A ~066121~01/31/90~1~01
rotary~301/293-9504        ~0000013314~1 ~027~L~MYERSVILLE 2400     ~Y~Y~Y~A ~066121~01/01/92~1~01
rotary~301/294-1694        ~0000010402~1 ~001~ ~QUOTRON             ~N~N~Y~A ~074980~01/01/92~1~01
rotary~301/294-4522        ~0000010402~1 ~038~M~ROCKVILLE 2400      ~Y~Y~Y~A ~056830~01/01/92~1~01
rotary~301/777-9320        ~0000011063~1 ~031~L~CUMBERLAND 2400     ~Y~Y~Y~UG~105858~09/03/92~1~01
rotary~302/652-2036        ~0000011304~1 ~024~M~WILMINGTON 2400     ~Y~Y~Y~A ~040221~01/22/88~1~01
rotary~302/652-2060        ~0000004430~1 ~038~M~WILMINGTON          ~Y~N~N~A ~007574~11/14/84~1~01
rotary~302/652-6191        ~0000011304~1 ~001~ ~TELCOM              ~N~N~Y~A ~059020~01/01/92~1~01
rotary~302/678-3569        ~0000012622~1 ~025~L~DOVER 2400          ~Y~Y~Y~A ~061140~01/01/92~1~01
rotary~302/856-1788        ~0000011702~1 ~064~L~GEORGETOWN 2400     ~Y~Y~Y~UG~107149~09/24/92~1~01
rotary~303/224-9819        ~0000011266~1 ~016~L~FORT COLLIN2400     ~Y~Y~Y~A ~040206~01/01/92~1~01
rotary~303/241-1643        ~0000002347~1 ~027~L~GRD JUNCTN 2400     ~Y~Y~Y~A ~044016~07/26/88~1~01
rotary~303/352-0960        ~0000007322~1 ~016~L~GREELEY 2400        ~Y~Y~Y~A ~058009~01/01/86~1~01
rotary~303/356-7065        ~0000007505~1 ~029~L~GREELEY 2400        ~Y~Y~Y~A ~070856~01/01/92~1~01
rotary~303/830-0713        ~0000012114~1 ~001~ ~QUOTRON             ~N~N~Y~A ~071629~01/01/92~1~01
rotary~303/830-0713        ~0000003362~1 ~001~ ~QUOTRON             ~N~N~Y~A ~071629~01/01/92~1~01
rotary~303/830-8530        ~0000006651~1 ~012~H~DENVER TYMDIAL      ~1~N~Y~A ~108795~01/17/90~3~01
rotary~303/830-9032        ~0000002571~1 ~002~H~DENVER TYMX25       ~1~N~Y~A ~051909~09/07/89~4~01
rotary~303/830-9210        ~0000002414~1 ~054~H~DENVER              ~Y~N~N~A ~000000~08/01/82~1~01
rotary~303/832-3447        ~0000012361~1 ~086~H~DENVER 2400         ~Y~Y~Y~A ~063780~07/02/85~1~01
rotary~303/832-3447        ~0000010432~1 ~086~H~DENVER 2400         ~Y~Y~Y~A ~063780~07/02/85~1~01
rotary~303/832-3447        ~0000003362~1 ~086~H~DENVER 2400         ~Y~Y~Y~A ~063780~07/02/85~1~01
rotary~303/832-3698        ~0000002571~1 ~002~H~DENVER TYMX25       ~1~N~Y~A ~074861~01/01/92~4~01
rotary~303/860-0715        ~0000006653~1 ~001~H~S.M. STROLLER       ~N~Y~N~A ~053775~01/01/92~1~01
rotary~303/860-0968        ~0000012114~1 ~001~ ~QUOTRON             ~N~N~Y~A ~104735~08/26/92~1~01
